answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
100.0,751,"Leitantrag 3 des 44. ordentlichen Bundesparteitages, 24. und 25. November 2018","""Gerade der Europäischen Union stehen die Möglichkeiten zur Verfügung, sich schützend vor die Mittelschicht zu stellen. Der Beschluss zur Europäischen Säule sozialer Rechte war ein erster Schritt in die richtige Richtung. Doch rechtskonservative Parteien und die schwarz-blaue Bundesregierung setzen alles daran, um deren Umsetzung und neue europaweite Schutzbestimmungen zu verhindern. Anstatt sich unserem Kampf gegen Lohn- und Sozialdumping anzuschließen, wird in Österreich ein Sozialdumping-Rabatt eingeführt. So spalten sie unsere Gesellschaft und machen sie Schritt für Schritt ungerechter. Der Druck auf Löhne und Sozialleistungen gefährdet aber schlussendlich auch die Stellung der gesamten Europäischen Union, denn am Ende des Tages punktet Europa gerade mit hoher Qualität seiner Produkte, mit Innovation und hohem Lebensstandard. Der Wettbewerb nach unten bei Sozialstandards, Löhnen und Qualitätsstandards macht Europa und Österreich am Ende ärmer. Um Lohn- und Sozialdumping effektiv zu beenden, muss die Europäische Union langfristig ihr Versprechen für alle Mitgliedstaaten wahrmachen: Nur durch die sukzessive Angleichung der Sozialniveaus nach oben anstatt nach unten werden wir den Wohlstand in der Union für die Zukunft sichern. Um dies zu erreichen, müssen soziale Grundrechte endgültig Vorrang vor wirtschaftlichen Interessen erhalten.""",https://www.spoe.at/wp-content/uploads/sites/739/2018/11/EUWahl_Leitantrag_3.pdf,AT,Austria,332,Social Democratic Party of Austria,SPÖ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0332/spoe_logo-150x150-1554880634.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,751,Manifest zur Wahl des Europäischen Parlaments 2019,"""Die nationalen Regierungen hintertreiben die notwendigen Einigungsschritte zur Schaffung eines Raums der sozialen Sicherheit, Solidarität und Gerechtigkeit. Sie weigern sichdas Steuer- und Sozialdumping durch soziale Mindeststandards, Mindesteinkommen und gemeinsame Steuersätze zu beenden. Soziale Konflikte verschärfen sich dadurch, Herausforderungen bleiben ungelöst.""",https://www.1europa.at/manifest,AT,Austria,339,Initiative 1 Europe,Initiative 1 Europe,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0339/initiative_ein_europa_logo-1554880598.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,751,EU-Wahlprogramm der Europapartei,"""Wir wollen ein soziales Europa mit nachhaltiger Wirtschaft und Steuergerechtigkeit aufbauen. JedeR in Europa sollte das Recht auf ein angemessenes Einkommen und grundlegende öffentliche Dienstleistungen haben. Wir müssen das Wirtschaftssystem reformieren, damit es für die Menschen funktioniert und die Grenzen des Planeten respektiert. Ein Green New Deal würde Milliarden in nachhaltige Investitionen und Innovationen lenken. Indem wir die Vorteile der Wirtschaft teilen, können wir alle an Bord behalten."" (...) ""Besteuerung kann ein wirksames Instrument für Fairness und Nachhaltigkeit sein. Wir setzen uns für eine ökologische Steuerreform ein: mehr Steuern, von denen wir weniger wollen (Ressourcennutzung und Umweltverschmutzung), und weniger Steuern, von denen wir mehr wollen (Arbeitsplätze). Europa sollte von den Mitgliedstaaten verlangen, die Steuern auf fossile Brennstoffe zu erhöhen und Umweltsteuern auf europäischer Ebene zu berücksichtigen, beispielsweise auf Flügen und Kunststoffen.""",https://vote.europeangreens.eu/manifesto,AT,Austria,344,The Greens - The Green Alternative,GRÜNE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0344/gruene_logo-1554880615.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,751,Grundsatzprogramm 2016,"""Die Leistungen des Staates sind klar auf schlank gehaltene Verwaltungs- und Versorgungsleistungen sowie volkswirtschaftlich wichtige Infrastrukturleistungen zu beschränken. Privatwirtschaftliche Leistungen sind unter betriebswirtschaftlichen Gesichtspunkten ohne direkte Einflussnahme des Staates von einem funktionierenden Markt anzubieten.""",https://www.neos.eu/_Resources/Persistent/b0cd10390f7c412745cfeb628e4eaa66fb98a49e/WIRTSCHAFT-STANDORT-UND-STEUERN.pdf,AT,Austria,472,The New Austria and Liberal Forum,NEOS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0472/bild1-1554975321.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,751,Regierungsprogramm 2017,"""Die Sozialhilfe (Mindestsicherung NEU) ist ein wichtiges Instrument, um Armut zu vermeiden, und soll so rasch wie möglich zur (Re-)Integration in den Arbeitsmarkt führen. Die steigende Zahl der Bezieherinnen und Bezieher sowie die steigenden Kosten zeigen, dass diese Ziele bisher nicht erreicht wurden. Die Mindestsicherung muss fair und gerecht sein: Menschen, die arbeiten oder jahrelang den ihnen möglichen Beitrag für Österreich geleistet haben, sollen auch finanziell besser gestellt sein als andere, die das nicht tun oder getan haben.""",https://www.dieneuevolkspartei.at/download/Regierungsprogramm.pdf,AT,Austria,475,Austrian People's Party,ÖVP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0475/%C3%B6vp-1554926338.jpeg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,751,Parteiprogramm 2011,"""Ziel freiheitlicher Budgetpolitik ist die Entlastung des Bürgers. Die Höhe von Steuern und Abgaben ist für Arbeitnehmer und Arbeitgeber durch eine effektive Verwaltung sowie sparsamen, wirtschaftlichen und zweckmäßigen Umgang mit öffentlichen Mitteln auf das notwendigste Maß zu beschränken"""" (Parteiprogramm 2011). """"Ziel muss daher sein, die Staatseinnahmen auf 40 Prozent des Bruttoinlandsprodukts zu drücken. Dazu muss der Staat endlich bei seinen Ausgaben sparen. (...) Einsparungspotentiale liegen in einer Optimierung der Sozialausgaben, des Förderwesens, des Föderalismus und der allgemeinen Verwaltung, aber auch in einer Zusammenlegung der Sozialversicherungsträger"""" (Wahlprogramm zur Nationalratswahl 2017). """"Ausgaben für Arbeit, Soziales und Familie mit maximal 40 Prozent der Gesamtausgaben begrenzen"""" (Das freiheitliche Wirtschaftsprogramm 2017).""",https://www.fpoe.at/fileadmin/user_upload/Wahlprogramm_8_9_low.pdf  https://www.fpoe.at/fileadmin/user_upload/www.fpoe.at/dokumente/2017/Zusammen_Fuer_Oesterreich_Regierungsprogramm.pdf ,AT,Austria,482,Austrian Freedom Party,FPÖ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0482/fp%C3%96-1554976218.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,752,SPÖ Grundsatzprogramm 2018,"Wir brauchen und verteidigen einen starken Sozial- und Wohlfahrtsstaat, der die sozialen Rechte aller Menschen sicherstellt. Unsere Arbeitslosen-, Kranken-, Pensions- und Unfallversicherungen sind Ausdruck institutionalisierter Solidarität.""",https://www.spoe.at/wp-content/uploads/sites/739/2018/12/Parteiprogramm2018.pdf,AT,Austria,332,Social Democratic Party of Austria,SPÖ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0332/spoe_logo-150x150-1554880634.png,The state should provide stronger financial support to unemployed workers,1
100.0,752,sic Johannes Voggenhuber,"In Europa wie auch in Österreich wurde in den letzten 15 Jahren das öffentliche Bild von Arbeitslosen systematisch deformiert. Galt Arbeitslosigkeit früher als ein existenzielles Unglück und die Betroffenen als bedauernswert, wurde es zunehmend mit „Arbeitsscheu“, „Sozialschmarotzer“, „soziale Hängematte“, „Antriebslosigkeit“, … assoziiert. Diese politische Änderung der der sozialen Wahrnehmung wurde in der Folge dazu genutzt die finanzielle Unterstützung oder Ihre Dauer Arbeitslosen schrittweise zu kürzen. Mindestsicherungen, Fürsorgeleistungen im Anschluss an die Arbeitslosenunterstützung wurden ebenfalls gekürzt. Auch die Zumutbarkeitsbestimmungen wurden ständig verschärft. Dies Alles in der Absicht den Druck auf die Arbeitslosen zu erhöhen und die gesellschaftliche Solidarität zu schmälern. Die Initiative „1EUROPA“ lehnt eine deformiert inhumane und pauschale Diffamierung der Arbeitslosen ab und tritt daher für eine entsprechende Wiederanhebung ein um auch damit „leben“ zu können und entsprechende Anreize zur Schaffung von Arbeitsplätzen dauerhaft einzuführen.",,AT,Austria,339,Initiative 1 Europe,Initiative 1 Europe,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0339/initiative_ein_europa_logo-1554880598.png,The state should provide stronger financial support to unemployed workers,1
100.0,752,EU-Wahlprogramm der Europapartei,"""Wir Grüne wollen eine europäische Lösung für eine Sozialunion, keine einzelstaatliche. Das gilt auch für die Unterstützung von Arbeitslosen."" Übersetzung: ""Etwa jeder zehnte Erwerbstätige ist in Europa von Armut bedroht. Wir möchten die Arbeits- und Wohlfahrtsregimes so aktualisieren, dass sie die sich verändernde Natur der Arbeit erkennen und gleichzeitig Selbständige und unselbstständige ArbeitnehmerInnen schützen. Eine Lösung könnte eine Arbeitslosenversicherung für die Eurozone sein, die auch anderen offensteht, die daran teilnehmen möchten. Dies gewährleistet eine Grundversicherung, die durch nationale Arbeitslosenleistungen ergänzt wird.""",https://vote.europeangreens.eu/manifesto,AT,Austria,344,The Greens - The Green Alternative,GRÜNE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0344/gruene_logo-1554880615.png,The state should provide stronger financial support to unemployed workers,1
25.0,752,Entschließungsantrag der Nationalratsfraktion 21.11.2018,"""Das Versicherungsprinzip wird überspannt, wenn die Arbeitslosenversicherung Leistungen der Notstandshilfe zeitlich unbegrenzt ausbezahlt. Das überfordert die Solidarität der Versichertengemeinschaft, denn das Arbeitslosengeld und die ihr folgende Notstandshilfe stellen eine Geldleistung zur Kompensation des vorübergehenden Einkommensentfalls aufgrund eines Jobverlustes dar. Logisch folgt daraus eine Koppelung der Bezugsdauer an die Zeit, in der tatsächlich Beiträge in die Arbeitslosenversicherung bezahlt wurden, um so jenen, die mehr Beiträge bezahlt haben, auch längere Leistung zukommen zu lassen. Außerdem braucht es eine Überführung von Notstandshilfebezieherjnnen in die Mindestsicherung nach einem länger andauernden Bezug. Bundesministerin für Arbeit, Soziales, Gesundheit und Konsumentenschutz wird aufgefordert, dem Nationalrat eine Regierungsvorlage zuzuleiten, die vorsieht, dass die nicht unterbrochene Bezugsdauer von Arbeitslosengeld und darauffolgender Notstandshilfe zeitlich limitiert und damit die Notstandshilfe langfristig von der Bedarfsorientierten Mindestsicherung abgegrenzt wird.""",https://www.parlament.gv.at/PAKT/VHG/XXVI/A/A_00480/imfname_722513.pdf,AT,Austria,472,The New Austria and Liberal Forum,NEOS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0010/candidates/0000/0000/0472/bild1-1554975321.png,The state should provide stronger financial support to unemployed workers,1
