answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
25.0,861,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,336,DEMOCRATIC RALLY,ΔΗ.ΣΥ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0336/disy-1554965537.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,861,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,338,DEMOCRATIC PARTY,ΔΗ.ΚΟ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0338/dhko-logo-1554965523.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,861,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,340,SOCIAL DEMOCRATS MOVEMENT EDEK ,ΕΔΕΚ ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0340/edek-1554965550.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,861,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,343,NATIONAL POPULAR FRONT,ΕΛΑΜ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0343/%CE%95%CE%9B%CE%91%CE%9C-1554965572.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,861,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,345,JASMINE MOVEMENT,ΓΙΑΣΕΜΙ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0345/jasmine-movement-cyprus-696x476-1554965590.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,861,Τρέχον / τελευταίο εθνικό εκλογικό πρόγραμμα ,Ανασυγκρότηση της κοινωνικής πολιτικής με στόχο την καταπολέμηση της φτώχειας και του κοινωνικού αποκλεισμού και τη στήριξη κοινωνικά ευάλωτων ομάδων του πληθυσμού.,,CY,Cyprus,370,PROGRESSIVE PARTY OF WORKING PEOPLE,ΑΚΕΛ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0370/akel_son_56e27315-1554965508.gif,Social programmes should be maintained even at the cost of higher taxes,0
100.0,861,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,372,CYPRUS GREEN - CITIZENS ALLIANCE,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ - ΟΙΚΟΛΟΓΟΙ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0372/simmaxia-oikologoi-1554965610.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,862,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,336,DEMOCRATIC RALLY,ΔΗ.ΣΥ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0336/disy-1554965537.jpg,The state should provide stronger financial support to unemployed workers,1
75.0,862,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,338,DEMOCRATIC PARTY,ΔΗ.ΚΟ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0338/dhko-logo-1554965523.jpg,The state should provide stronger financial support to unemployed workers,1
100.0,862,Αυτοπροσδιορισμός απο το κόμμα.,Η θέση έχει προσδιοριστεί στη βάση συμφωνίας μεταξύ αυτοπροσδιορισμού του κόμματος και εκτίμησης του εμπειρογνώμονα.,,CY,Cyprus,340,SOCIAL DEMOCRATS MOVEMENT EDEK ,ΕΔΕΚ ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0014/candidates/0000/0000/0340/edek-1554965550.jpg,The state should provide stronger financial support to unemployed workers,1
