answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
75.0,993,Bundestagswahlprogramm 2017,Wir unterstützen ausdrücklich das Prinzip der anteilsgleichen Finanzierung der Krankenversicherung zwischen Arbeitgeber und Arbeitnehmer. Zusätzliche Kosten im Gesundheitssystem müssen von beiden Seiten zur Hälfte übernommen werden. Zur Entlastung der Sozialversicherung sollten die Sozialversicherungsabkommen mit anderen Staaten einer Überprüfung unterzogen werden.,https://www.freiewaehler.eu/fileadmin/user_upload/Bundesvereinigung/BTW_2017/2017-04-07_Wahlprogramm_Die_anstaendige_Alternative_final.pdf,DE,Germany,298,Free Voters,Freie Wähler,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0298/440px-freie_waehler_logo.svg-1554932190.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,993,EU Wahlprogramm 2019,"Allen Menschen in Europa wollen wir ein würdevolles Existenzmini-mum garantieren. Dafür braucht es einen europäischen Rahmen für eine Grundsicherung in allen Mitgliedstaaten. Die EU muss gemein-sam mit den Mitgliedstaaten wirkungsvolle Maßnahmen gegen Kin-derarmut entwickeln. Wir wollen, dass kein Kind in der EU in Armut leben muss. Wir machen uns stark für eine europäische Grundsiche-rungs-Richtlinie, die soziale Mindeststandards für jedes Land festlegt, angepasst an die jeweilige ökonomische Situation. Die Mitgliedstaa-ten sind natürlich angehalten, höhere Standards zu behalten oder neu zu schaffen. Das Gleiche gilt für die nationalen Gesundheitssys-teme. Auch hier braucht es einen Mindestversorgungsstandard in al-len Ländern. Jede*r Europäer*in muss sich darauf verlassen können, bei Krankheit oder Pflegebedürftigkeit gut versorgt zu werden; der Ausschluss von Bevölkerungsgruppen vom Zugang zum Gesundheitswesen ist deshalb zu sanktionieren.Wir streiten dafür, dass nationale Gesundheitssysteme als Teil der sozialen Daseinsvorsorge nicht durch die Hintertür über das europäische Wettbewerbsrecht ausgehöhlt werden. Europäischen Austausch und Transparenz zu Best-Practice-Modellen in den Bereichen Gesundheitsversorgung und Pflege wollen wir fördern.",https://www.gruene.de/fileadmin/user_upload/Dokumente/B90GRUENE_Europawahlprogramm_2019.pdf,DE,Germany,302,Alliance 90/The Greens,Grüne,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0302/1920px-b%C3%BCndnis_90_-_die_gr%C3%BCnen_logo.svg-1554932217.png,Social programmes should be maintained even at the cost of higher taxes,0
0.0,993,EU Wahlprogramm 2019,"Viele Menschen haben nichts von der wirtschaftlichen Entwicklung, weil der staattliche Zugriff über Steuern, Abgaben und Gebühren in den letzten Jahren zugenommen hat. Frühere Generationen hatten mehr Netto vom Gehalt und eine größere Kaufkraft, da z.B. die Mehrwertssteuer in Deutschland früher bei 10% lag und heute bei 19%. Statt das EU-Budget nach dem Brexit zu reduzieren, ist die deutsche Regierung bereit, noch mehr Geld in den EU-Haushalt zu geben. Dieses Geld muss aber zuvor vom Steuerzahler aufgebracht werden, was wiederum das Netto mindert. ",https://buendnis-c.de/wp-content/uploads/2019/02/Europawahl-2019_Vollprogramm_Buendnis-C.pdf,DE,Germany,307,Alliance C – Christians for Germany,Bündnis C,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0307/1920px-logo_der_partei_b%C3%BCndnis_c_-_christen_f%C3%BCr_deutschland.svg-1554931743.png,Social programmes should be maintained even at the cost of higher taxes,0
0.0,993,EU Wahlprogramm 2019,"Grundsätzlich ist für alle in Deutschland ausgereichten Sozialleistungen zu überprüfen, ob und welche gesetzgeberischen Möglichkeiten bestehen, ihren Bezug auf deutsche Staatsbürger zu begrenzen.",https://npd.de/eurowahl/,DE,Germany,323,National Democratic Party of Germany,NPD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0323/1200px-npd-logo-2013.svg-1554932252.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,993,Parteiprogramm 2011,"DIE LINKE will soziale Sicherheit für alle und soziale Gerechtigkeit. Wir streben deshalb eine soziale Umverteilung von oben nach unten an. Gerechte, ausgeglichene Verteilungsverhältnisse sind auch wichtig zur Stärkung der Demokratie, weil die Verfügung über große finanzielle Mittel auch politische Macht verleiht.",https://www.die-linke.de/fileadmin/download/grundsatzdokumente/programm_formate/programm_der_partei_die_linke_erfurt2011.pdf,DE,Germany,330,The Left,Die Linke,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0330/die_linke_logo.svg-1554932841.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,993,Bundestagswahlprogramm 2017,"Starke Schultern tragen mehr als schwache, aber niemand darf durch Steuern so belastet werden, dass Leistungsfähigkeit und Leistungsbereitschaft sinken. CDU und CSU haben 2013 versprochen, in dieser Legislaturperiode keine Steuern zu erhöhen. Dieses Versprechen haben wir gehalten. Wir haben sogar Steuern gesenkt. Dadurch haben wir das Vertrauen in stabile steuerliche Rahmenbedingungen erheblich gestärkt und viele Menschen zu mehr Arbeit und Leistung ermutigt. An diesem erfolgreichen Kurs halten wir fest.",https://www.cdu.de/system/tdf/media/dokumente/170703regierungsprogramm2017.pdf?file=1,DE,Germany,355,Christian Democratic Union of Germany / Christian Social Union in Bavaria,CDU/CSU,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0355/die-union-cdu-csu-logo-zur-parteiseite-1554931940.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,993,Bundestagswahlprogramm 2017,"Wir Freie Demokraten wollen eine Belastungsgrenze für die direkten Steuern und Sozialabgaben im Grundgesetz festschreiben. Nur wenn den Bürgerinnen und Bürgern genügend von ihrem Einkommen bleibt, können sie sich ihre Wünsche erfüllen und eine eigene Altersvorsorge leisten.",https://www.fdp.de/sites/default/files/uploads/2017/08/07/20170807-wahlprogramm-wp-2017-v16.pdf,DE,Germany,357,Free Democratic Party,FDP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0357/logo_der_freien_demokraten-1554932121.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,993,Bundesparteiprogramm 2007,Nach Auffassung der Familien-Partei Deutschlands müssen die Arbeitsplätze und damit sowohl Arbeitnehmer als auch Arbeitgeber von Steuern und Beiträgen entlastet werden. Stattdessen sollten die Abgaben weitestgehend bei den materiellen Gütern und bei Dienstleistungen erhoben werden.,https://www.wählefamilie.de/index_htm_files/FAMILIE_Bundesparteiprogramm.pdf,DE,Germany,361,Family Party of Germany,Familie,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0361/familienpartei_logo2007.svg-1554932030.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,993,Bundestagswahlprogramm 2017,"Die AfD wendet sich gegen eine Ausweitung der Abgabenbelastung und fordert die Absenkung der allgemeinen Mehrwertsteuer um 7 Prozentpunkte sowie die Einführung einer allgemeinen Abgabenbremse (für Steuern, Beiträge und Gebühren) zugunsten der Bürger. Diese ist im Grundgesetz festzuschreiben. Damit soll verhindert werden, dass Steuern und Abgaben in Zukunft beliebig erhöht werden können. Die Obergrenze sollte maximal der heutigen Abgabenquote entsprechen und mittelfristig 40 Prozent des Bruttoinlandsprodukts nicht übersteigen. Eine solche Politik ist erforderlich, weil sowohl die Staatsfinanzierung als auch der Wohlstand der Bürger in erster Linie von einer blühenden Wirtschaft abhängen. Neben innovativer Forschung und gut ausgebildeten Menschen braucht der Wirtschaftsprozess finanzielle Rahmenbedingungen, welche die Eigenfinanzierung für die technologische Infrastruktur der Zukunft ermöglichen und die internationale Wettbewerbsfähigkeit auch bei der Abgabenlast gewährleisten.",https://www.afd.de/wp-content/uploads/sites/111/2017/08/AfD_Wahlprogramm_2017_A5-hoch.pdf,DE,Germany,369,Alternative for Germany,AfD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0369/800px-alternative-fuer-deutschland-logo-2013.svg-1554845934.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,993,Parteiprogramm 2016,"Deutschland gibt knapp 30 % seines Bruttoinlandsprodukts für den Sozialstaat aus und damit doppelt so viel wie für alle anderen staatlichen Aufgaben (Bildung, Verteidigung, Verkehr, Polizei, Zinsen u.v.m.) zusammen. Die Finanzierung des Sozialstaats ist jedoch intransparent und angesichts der demographischen Entwicklung für die Zukunft nicht gesichert. Ein gerechtes Alterssicherungssystem sollte zudem auch Zeiten der Kindererziehung oder der Pflege angemessen berücksichtigen.   Dies kann jedoch nicht durch bloße Umverteilung oder Steuererhöhungen geleistet werden.",https://lkr.de/parteiprogramm/,DE,Germany,422,Liberal Conservative Reformers,LKR,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0009/candidates/0000/0000/0422/lkr_logo_simple_143-2-1554845606.png,Social programmes should be maintained even at the cost of higher taxes,0
