answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
25.0,927,Riigikogu valimiste programm,"Me ei toeta Eestis üldise maksukoormuse tõstmist. Oodatust suuremate maksulaekumiste korral on ISAMAA prioriteet endiselt tööjõumaksude langetamine. // ISAMAA sotsiaalpoliitika toetab iga inimese edukat toimetulekut, loob igaühele võimaluse eneseteostuseks ja heaolu saavutamiseks.",https://isamaa.ee/rk19programm/,EE,Estonia,425,Pro Patria,IE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0425/isamaa%20logo-1554932961.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,927,Erakonna üldprogramm,Eesti riigi esmane ülesanne on Eesti rahva püsimajäämine ja kõigile Eesti inimestele sotsiaalse turvatunde ja väärika elu tagamine. Eesti Keskerakonna eesmärk on Eesti ühiskonna majandusliku ja sotsiaalse kihistumise ohjamine ning vaesuse vältimine. // Kehtestame klassikalise ja euroopaliku astmelise tulumaksusüsteemi. Taastame klassikalise ettevõtluse tulumaksu ning takistame ettevõtete kasumi maksuvabalt välja viimist.,https://www.keskerakond.ee/et/erakonna-liikmed/programm.html ,EE,Estonia,426,Estonian Centre Party,KE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0426/keskerakond%20logo-1554933077.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,927,Erakonna üldprogramm,"Rahva heaolu aluseks on majanduse areng, mitte sotsiaaltoetused.",https://ekre.ee/wp-content/uploads/2015/07/EKRE-PROGRAMM-KONSERVATIIVNE-PROGRAMM.pdf ,EE,Estonia,427,Conservative People's Party of Estonia,EKRE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0427/ekrelogo3-1554934081.gif,Social programmes should be maintained even at the cost of higher taxes,0
0.0,927,Riigikogu valimiste programm,"peame vajalikuks: ...Avada arutelu, et leida võimalused tööjõu maksustamise vähendamiseks viisil, mis tagaks samas tervishoiu rahastamise ja pensionisüsteemi jätkusuutlikkuse. // Reformierakond usub, et reeglina saavad inimesed oma eluga ise hakkama, vajamata riigi liigset sekkumist era- ja pereellu. ",https://www.reform.ee/sites/default/files/uploads/Reformierakonna_valimisprogramm_2019_printimiseks_a4.pdf,EE,Estonia,430,Estonian Reform Party,RE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0430/reform%20logo-1554933141.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,927,Riigikogu valimiste programm,"Eesti sotsiaalsüsteem peab tagama kindlustunde, et iga Eesti elav inimene saab vajaduse korral abi ja toetust. // Tuleval valimisperioodil peavad sotsiaaldemokraadid vajalikuks tagada eelkõige maksurahu, selleks et tagada riigi üldine stabiilne areng. Me ei tõsta üldist maksukoormust.",https://valimised2019.sotsid.ee/wp-content/uploads/2018/12/2019-PROGRAMM-lo%CC%83plik-kinnitatud.pdf ,EE,Estonia,432,Social Democratic Party,SDE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0432/sotsidlogo6-1554936739.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,927,Riigikogu valimiste programm,"Me usume, et maksud on hind, mida inimesed ja ettevõtted on nõus maksma neile pakutava keskkonna eest. Sellest lähtuvalt maksavad inimesed juba praegu üsna kõrget hinda oma elukeskkonna eest ja Eesti üldine maksukoormus ei tohi lähiajal tõusta. Me oleme vastu igasugustele maksumuudatustele, mille põhiline eesmärk on leida järgmise aasta planeeritavatele lisakulutustele kate. Kehtestame meie ettevõtetele kaks aastat kestva maksurahu.",https://eesti200.ee/programm/,EE,Estonia,466,Estonia 200,E200,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0466/eesti200%20logo-1554932129.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,927,Riigikogu valimiste programm,"Maksusüsteemi kujundamisel peab juhinduma laiematest ja pikaajalistest eesmärkidest, nagu maksude sotsiaalne ja keskkonnamõju // Teeme Eestist esimese riigi maailmas, kus kehtib kodanikupalk. Üha vananev elanikkond ja töökohtade automatiseerimine tähendavad, et kulutused sotsiaalsele kaitsele suurenevad lähiaastatel veelgi",https://rohelised.ee/valimisprogramm-2019/ ,EE,Estonia,470,Estonian Greens,EER,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0470/rohelised%20logo-1554932788.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,927,Muu programmiline ja ametlik erakonna dokumentatsioon,"Oleme otsedemokraatlik erakond – meie poliitilised seisukohad sõltuvad otseselt liikmete seisukohtadest, seega viisime CIOSis läbi hääletuse. ERE EuandI valijakompassi vastused väljendavad meie hääle andnud liikmete seisukohti antud teemadel ja kujundavad ühtlasi erakonna üldiseid hoiakuid.",https://elurikkuseerakond.ee/ere-ep-valijakompass-2019/,EE,Estonia,478,Richness of Life,ERE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0478/elurikkus%20logo-1554932926.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,928,Euroopa Parlamendi valimiste programm,"Isamaa lähtub põhimõttest, et tööturu regulatsioonid ja kogu sotsiaalsüsteem, sh sotsiaaltoetused ja ümberõppeprogrammid, peavad olema kujundatud nii, et iga töövõimeline inimene leiaks rakenduse tööturul ning töötuks jäämise korral jõuaks võimalikult kiiresti tööturule tagasi.",https://isamaa.ee/ep2019programm/ ,EE,Estonia,425,Pro Patria,IE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0425/isamaa%20logo-1554932961.png,The state should provide stronger financial support to unemployed workers,1
100.0,928,Riigikogu valimiste programm,"Vajame töötuskindluse reformi, mis annaks piisava töötuskindlustuskaitse senisest enamatele töötegijatele lähtudes töötegija laiendatud mõistest. ",https://www.keskerakond.ee/files/Eesti-Keskerakonna-valimisplatvorm-Riigikogu-2019-valimistel.pdf,EE,Estonia,426,Estonian Centre Party,KE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0017/candidates/0000/0000/0426/keskerakond%20logo-1554933077.png,The state should provide stronger financial support to unemployed workers,1
