answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
50.0,1015,7 Κεφάλαια Πολιτικής,"Ανακατανομή κοινωνικών δαπανών και αξιοποίηση δημοσιονομικού χώρου, με προτεραιότητα σε ανέργους, οικογένειες με παιδιά και άτομα σε ακραία φτώχια με πλήρη εφαρμογή του ελάχιστου εγγυημένου εισοδήματος.",http://topotami.gr/wp-content/uploads/2019/04/7-%CE%9A%CE%B5%CF%86%CE%AC%CE%BB%CE%B1%CE%B9%CE%B1-%CE%A0%CE%BF%CE%BB%CE%B9%CF%84%CE%B9%CE%BA%CE%AE%CF%82.pdf,EL,Greece,318,The River,Το Ποτάμι,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0318/untitled%202.002-1554816300.jpeg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1015,Προγραμματικές θέσεις,"Η ΕΛΛΗΝΙΚΗ ΛΥΣΗ, γνωρίζοντας όλα αυτά τα προβλήματα πιστεύει πως η συνταγή της επίλυσης τους είναι μία και μοναδική: η παραγωγή πλούτου στην πατρίδα μας, η οποία θα προκαλέσει την επιστροφή των νέων, θα αυξήσει τις γεννήσεις, θα μειώσει τους θανάτους, θα περιορίσει την ανεργία, θα αυξήσει τους μισθούς, θα στηρίξει τις συντάξεις κοκ.",https://elliniki-lisi.gr/wp-content/uploads/2018/07/programatikes.elliniki.lisi_.2019.pdf,EL,Greece,320,Greek Solution,Ε.Λ.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0320/untitled%202.003-1554816091.jpeg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1015,Ανακοίνωση,"Ενιαίο, Καθολικό, αποκλειστικά Δημόσιο και Δωρεάν σύγχρονο σύστημα Υγείας - Πρόνοιας και Επείγουσας Ιατρικής, με πανελλαδικά ανεπτυγμένο, σύγχρονα εξοπλισμένο, δημόσιο - δωρεάν ΕΚΑΒ. Η χρηματοδότηση να γίνεται αποκλειστικά από το κράτος και την εργοδοσία με κατάργηση κάθε επιχειρηματικής δράσης στην Υγεία - Πρόνοια. (Απόσπασμα ανακοίνωσης του ΠΓ της ΚΕ του ΚΚΕ για τα μέτωπα πάλης στην υγεία - πρόνοια)",http://www.kke.gr/ygeia_-_pronoia/apospasma_anakoinoshs_toy_pg_ths_ke_toy_kke_gia_ta_metopa_palhs_sthn_ygeia_-_pronoia?act=2&morf=1&tab=1,EL,Greece,328,Communist Party of Greece,K.K.E.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0328/1200px-kke.svg-1554815324.png,Social programmes should be maintained even at the cost of higher taxes,0
,1015,,,,EL,Greece,329,Popular Association – Golden Dawn[,X.A.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0329/56fd7-goldendawn%20(1)-1554815361.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1015,Κυβερνητικό Πρόγραμμα,"Η κυβερνητική μας πρόταση στοχεύει στην επίλυση των προβλημάτων που δημιούργησε η μνημονιακή πολιτική των κυβερνώντων, φέρνοντας τη χώρα σε “οικονομικό και εργασιακό μαρασμό” και υπονομεύοντας κάθε μορφή κοινωνικής παροχής. Η αναδιοργάνωση και ενίσχυση των δομών, η ενδυνάμωση των κλάδων παραγωγής και υπηρεσιών, η αξιοποίηση της τεχνολογίας και του ανθρώπινου δυναμικού, αλλά και η ενίσχυση των προνοιακών και κοινωνικών παροχών, η εκ νέου διασφάλιση της βιωσιμότητας των ασφαλιστικών Ταμείων που έχουν ήδη καταρρεύσει, η επαναφορά των μισθών στα επίπεδα του 2009, καθώς και των κατώτατων συντάξεων στο όριο των 800 ευρώ, είναι βήματα απαραίτητα για την επανεκκίνηση της οικονομίας και την ορθολογικότερη λειτουργία του κράτους, που ωστόσο δεν πρέπει να απολέσει και τον κοινωνικό του χαρακτήρα. Επιδιώκουμε την ανάπτυξη με κοινωνική δικαιοσύνη, ώστε το προϊόν της ανάπτυξης να διαχέεται στο σύνολο του πληθυσμού και να μη καταλήγει στην ιδιοποίησή του από τους ολίγους.","http://anexartitoiellines.gr/files/ΤΟΜΕΑΣ%20ΕΡΓΑΣΙΑΣ,%20ΚΟΙΝΩΝΙΚΗΣ%20ΑΣΦΑΛΙΣΗΣ%20ΚΑΙ%20ΠΡΟΝΟΙΑΣ.pdf",EL,Greece,334,Independent Greeks,ΑΝ.ΕΛ.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0334/untitled%202.004-1554815863.jpeg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1015,Συνέντευξη Κυριάκου Μητσοτάκη,"Πιστεύω ότι χρειαζόμαστε ένα διαφορετικό μείγμα δημοσιονομικής πολιτικής. Χρειάζεται να μειώσουμε τους φόρους και να περιορίσουμε τις δημόσιες δαπάνες (Μητσοτάκης, 2018).",https://nd.gr/nea/synenteyxi-toy-proedroy-tis-neas-dimokratias-k-kyriakoy-mitsotaki-sto-bloomberg ,EL,Greece,335,New Democracy,Ν.Δ.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0335/dorddkfxkai28wk-1554816587.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1015,Απόφαση Πολιτικού Συμβούλιου,"Προώθηση ενός δίκαιου και απλού φορολογικού συστήματος, που θα βοηθάει, όχι μόνο στην ριζική αναδιανομή του πλούτου στη χώρα υπέρ των λαϊκών στρωμάτων, αλλά και στον αναπτυξιακό και παραγωγικό μετασχηματισμό της οικονομίας. Μείωση των φόρων για εργαζομένους και συνταξιούχους, για μικρομεσαίους αυτοαπασχολούμενους, επαγγελματίες και αγρότες. Δραστική μείωση των συντελεστών ΦΠΑ και μηδενισμός του στα είδη λαϊκής κατανάλωσης. Κατάργηση του ΕΝΦΙΑ. Ακύρωση των φορολογικών προνομίων και απαλλαγών της ολιγαρχίας [...]Επιπλέον, για την επαναφορά του δημόσιου – καθολικού – αναδιανεμητικού, αλληλέγγυου χαρακτήρα της Κοινωνικής Ασφάλισης και την ανακεφαλαιοποίησή της με δημόσιους πόρους, για την αποκατάσταση της διαχρονικής λεηλασίας των αποθεματικών της από τις τράπεζες, τις κυβερνήσεις και την άρχουσα τάξη της χώρας μας",https://laiki-enotita.gr/2018/12/05/%CE%B1%CF%80%CF%8C%CF%86%CE%B1%CF%83%CE%B7-%CF%80%CE%BF%CE%BB%CE%B9%CF%84%CE%B9%CE%BA%CE%BF%CF%8D-%CF%83%CF%85%CE%BC%CE%B2%CE%BF%CF%8D%CE%BB%CE%B9%CE%BF%CF%85-%CF%84%CE%B7%CF%82-%CE%BB%CE%B1%CE%B5/  ,EL,Greece,348,Popular Unity,ΛΑ.Ε.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0348/untitled%2022.001-1554996053.jpeg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1015,Πολιτική Απόφαση της Κ.Ε.,"Μέσα σε αυτό το γενικό πλαίσιο, ο ΣΥΡΙΖΑ θέτει ως βασικούς στόχους τη συνολική ενίσχυση του κοινωνικού κράτους, τους κράτους πρόνοιας, την καταπολέμηση της φτώχειας και του κοινωνικού αποκλεισμού. Την επαναθεμελίωση των δομών του κοινωνικού κράτους στην Υγεία, την Παιδεία, την Κοινωνική Αλληλεγγύη ώστε να ανταποκρίνονται στις σύγχρονες ανάγκες των ευρωπαϊκών κοινωνιών, διατηρώντας και δυναμώνοντας το δημόσιο χαρακτήρα τους, καθώς και τη δωρεάν και χωρίς διακρίσεις παροχή υπηρεσιών σε όλους τους πολίτες.",https://www.syriza.gr/article/id/79431/Politikh-Apofash-ths-K.E.-gia-th-machh-twn-Eyrweklogwn.html ,EL,Greece,350,Coalition of the Radical Left,ΣΥΡΙΖΑ Προοδευτική Συμμαχία,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0350/untitled%2022.004-1554996023.jpeg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1015,Προγραμματικό κείμενο,"""Υγεία δημόσια και δωρεάν για όλους.  Είσοδος του κάθε πολίτη σε οποιοδήποτε νοσοκομείο της χώρας με απλή επίδειξη της ταυτότητας του.  Εδραίωση δωρεάν παιδείας και δωρεάν υγείας και θα αντιτεθούμε με όλες μας τις δυνάμεις στην ανάπτυξη κερδοσκοπικού χαρακτήρα κινήσεων στους χώρους αυτούς.""",https://www.antidiaploki.gr/article/837/ygeia_athlitismos_narkwtika.html?category_id=5,EL,Greece,354,Union of Centrists,Ε.Κ.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0354/untitled%2022.003-1554995946.jpeg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1015,Συνέντευξη,"Η ανασυγκρότηση του κράτους ως στρατηγική μας επιλογή για μια πολιτική σύγχρονης και ψηφιακής διακυβέρνησης, προϋποθέτει την ανάληψη και υλοποίηση μέτρων δημόσιας πολιτικής, που θα οδηγούν στη δημιουργία μιας Δημόσιας Διοίκησης, που να μπορεί: [...]  • Να διασφαλίζει το ρυθμιστικό ρόλο του Κράτους και το δημόσιο συμφέρον νοούμενο ως εξισορρόπηση και σύνθεση των διαφορετικών κοινωνικών επιδιώξεων και ως προστασία των αδύναμων κοινωνικών ομάδων και του οικοσυστήματος.",http://athina984.gr/wp-site/2019/04/22/eyropsifodeltio-kinal-psifos-allagis-gia-tin-ellada-kai-tin-eyropi/,EL,Greece,358,Movement for Change,ΚΙ.ΝΑΛ.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0020/candidates/0000/0000/0358/180px-movement_for_change_greece_logo-1554816431.png,Social programmes should be maintained even at the cost of higher taxes,0
