answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
100.0,949,Puolueen vastaus ja eduskuntavaaliohjelma 2019,"SDP:n tavoitteena on yhteiskunta, jossa on luottamusta niin ihmisten kuin yhteiskunnan eri toimijoiden välillä ja jossa luotetaan yhteiskunnan instituutioihin. Välittävässä yhteiskunnassa kaikilla sen jäsenillä on luottamusta myös tulevaan. Tämä edellyttää riittävää tulojen tasausta ja sosiaaliturvaa ja sitä, että yhteiskunnan palvelut toimivat ja niitä on saatavissa oikea-aikaisesti. ",https://sdp.fi/wp-content/uploads/2019/01/SDP_vaaliohjelma_web-versio2-sivuttain.pdf,FI,Finland,303,Social Democratic Party of Finland,SDP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0303/sdp_logo-1554882050.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,949,Kannanotto: Tulevaisuuden sosiaaliturva 2018,"Toimiva perusturva on tasa-arvoisen yhteiskunnan tukipilari. Se on meidän jokaisen yhteinen vakuutus elämän odottamattomien ja ei-toivottujen tapahtumien ja tilanteiden varalle. Suomalainen sosiaaliturva kuitenkin kaipaa uudistamista. Siitä on tullut monimutkainen, monitasoinen ja byrokraattinen tilkkutäkki. Sitä tulee yksinkertaistaa ja selkeyttää. Sosiaaliturvauudistuksen tulee vähentää ja tasoittaa kannustinloukkuja kannustaen työn tekemiseen ja yrittäjyyteen. ",https://www.kokoomus.fi/kannanotto-tulevaisuuden-sosiaaliturva/,FI,Finland,304,National Coalition Party,Kok.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0304/ruiskukka_ruiskukka_logo_sininen_2_rgb-1556189438.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,949,Puolueen vastaus ja eduskuntavaaliohjelma 2019,"Parhaiten suomalaisen sosiaaliturvan rahoitus voidaan varmistaa pitämällä huolta siitä, että talous kasvaa kestävästi, työllisyys kohenee ja tuottavuus lisääntyy. Silloin verotulotkin kasvavat. Hyvinvointiyhteiskunnassa kukaan ei saa tippua tyhjän päälle. ",https://www.keskusta.fi/loader.aspx?id=d17e82eb-9508-45a2-9334-43691a0bbfdb,FI,Finland,305,Centre Party of Finland ,Kesk.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0305/keskusta-1554886630.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,949,Kestävä hyvinvointivaltio ja kannustavuus - veropoliittinen ohjelma,"Olemme valmiit turvaamaan laadukkaat julkiset palvelut viime kädessä veronkorotuksilla. Oikeudenmukaista on taata tuloerojen kohtuullisuus, sosiaalinen liikkuvuus ja riittävä toimeentulo kaikille. Hyvätuloisilla on sekä mahdollisuus että velvollisuus osallistua yhteiskunnan rakentamiseen muita enemmän. Varallisuuserojen pienuus hyödyttää lopulta kaikkia.Pienten tuloerojen yhteiskunnissa ihmiset ovat keskimäärin onnellisempia. Nykyään köyhyys ja monet muut ongelmat siirtyvät sukupolvelta toiselle. Vastaavasti rahalla on tapana mennä rahan luokse, ja korkea koulutustaso periytyy. Kaikki eivät siis pääse aloittamaan samoista lähtökohdista. Edellytyksiä on tasattava koulutuksella, sosiaaliturvalla ja verotuksella.",https://www.vihreat.fi/kestava-hyvinvointivaltio-kannustavuus-veropoliittinen-ohjelma,FI,Finland,306,Green League,Vihr.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0306/logovalkoinenvihrealaatikkorgbpieni-1554883853.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,949,Puolueen vastaus,"Suomen veroaste on jo nyt sellainen, että sillä on välttämätöntä saada sosiaaliturva ja hyvinvointivaltion palvelut hoidettua. Oleellista on huolehtia priorisoinnista eli estää rahan kippaaminen toissijaisiin kohteisiin, kuten maahanmuuttoon. Suomen sosiaaliturvan tulee olla tarkoitettu suomalaisille.",,FI,Finland,308,The Finns,PS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0308/peruss_logo_rgb-1554880289.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,949,Puolueen vastaus ja eduskuntavaaliohjelma 2019,"Vasemmistoliitto kannattaa verotuksen progressiivisuutta niin tuloverotuksen kuin pääomaverotuksen osalta. Käytännössä pieniä tuloja pitää verottaa kevyemmin kuin suurempia tuloja. Lisäksi vasemmistoliitto haluaa ottaa käyttöön varallisuusveron. Kokonaisuudessaan verotusta pitää uudistaa niin, että se edistää ilmastomuutoksen torjuntaa ja toteutetaan oikeudenmukaisesti tavalla, jossa köyhimmät eivät joudu muita suuremmiksi maksajiksi ilmastotalkoissa. Veropohjaa laajentamalla ja tiivistämällä - eli verovälttelyä rajoittamalla - voidaan kerätä satoja miljoonia euroja lisätuloja ilman, että kenenkään verotusta kiristyy kohtuuttomasti. ",https://vasemmisto.fi/eduskuntavaaliohjelma-2019/,FI,Finland,309,Left Alliance,Vas.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0309/vasemmisto_logo-1554882278.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,949,Puolueen vastaus ja eduskuntavaaliohjelma 2019,"Kestävä kasvu ja korkea työllisyys­aste takaavat hyvinvointiyhteiskunnan jatkuvuuden pitkällä tähtäimellä. Haluamme hillitä velkaantumista. Emme saa jättää tuleville sukupolville perinnöksi nykyistä suurempaa velkataakkaa. Emme myöskään halua korkeampia veroja, mutta haluamme lisää suomalaisia työelämään veronmaksajiksi.",https://riksdagsval.sfp.fi/fi/rkpn-eduskuntavaaliohjelma-2019/,FI,Finland,310,Swedish People's Party of Finland,RKP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0310/sfp-rkp%20logo%204color%20cmyk%20modified-white-01-1554881979.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,949,Puolueen vastaus,"Sosiaaliturvaa on kehitettävä, jotta se olisi nykyistä kestävämmällä pohjalla. ”Puolueen asemoituminen on määritelty puolueen oman vastauksen ja asiantuntija-arvion perusteella.” ",,FI,Finland,311,Finnish Christian Democrats,KD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0311/kd-logo-1554886695.jpg,Social programmes should be maintained even at the cost of higher taxes,0
0.0,949,Sinisen tulevaisuuden vero-ohjelma,"""Sininen verokapina on suomalaisen polku vaurauteen. Se on työntekoon kannustamista käänteisellätuloverolla, pieni- ja keskituloisten palkkaverotuksen keventämisellä, yrittämisen esteidenraivaamisella ja piensijoittamisen helpottamisella.""",https://www.sininentulevaisuus.fi/wp-content/uploads/2019/02/Hyv%C3%A4ksytty-veroohjelma-uusi-taitto.pdf,FI,Finland,312,Blue Reform,Sin.,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0312/siniset_logo_ilman-teksti%C3%A4-1-1554881795.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,949,Puolueen vastaus ja puolueohjelma ,"Kannatamme vastikkeetonta perustuloa, joka täytyy pystyä turvaamaamaan - tarvittaessa vaikka veronkorotuksin. Emme kuitenkaan ole täysin samaa mieltä koska ennen sosiaaliturvaa on useita muita  potentiaalisia leikkauskohteita tai mahdollisuuksia toiminnan tehostamiseen, esimerkiksi IT-hankintojen kehittäminen sekä yritystuista luopuminen. ",https://piraattipuolue.fi/politiikka/puolueohjelma/,FI,Finland,313,Pirate Party,PP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0018/candidates/0000/0000/0313/piraattit_logo-1554884836.png,Social programmes should be maintained even at the cost of higher taxes,0
