answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
100.0,1059,Other programmatic and official party documentation,"""""""It is the duty of our people to contribute to society and the Republic, including through taxation, and it is the duty of Government to ensure the welfare and wellbeing of our people, in all of their diversity and differences, without discrimination.  The first duty of Government is to provide for the wellbeing, education and development of the children, regardless of origins, and to give them all an equal chance to fulfil their potential. The Republic must ensure a minimum, adequate standard of living, especially supporting those who are vulnerable or disadvantaged and who cannot meet their needs unaided.""""""",https://www.labour.ie/news/2019/01/19/implementing-labours-democratic-programmes/,IE,Ireland,269,Labour Party,Labour Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0269/lab-1554968484.jpg,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1059,"Interviews, press releases and social media communication (party leader and leading candidates)","Social programmes like the state pension will continue to cost more, and the Irish Government intends to continue honouring pension payments while not increasing taxes. Fine Gael intends to reduce income tax over the coming years.",https://www.finegael.ie/address-by-leader-of-fine-gael-an-taoiseach-leo-varadkar-td-at-the-79th-fine-gael-ard-fheis/,IE,Ireland,270,Fine Gael,Fine Gael,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0270/fg1-1554968560.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1059,Current/latest national election manifesto,"“Our activists have worked tirelessly to build a Still Waiting campaign that aims to deliver health care for everyone living on the island, paid for through progressive taxation.”",http://www.pbp.ie/our-vision/,IE,Ireland,271,Solidarity/People Before Profit,Solidarity/People Before Profit,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0271/pbp1-1554968463.jpg,Social programmes should be maintained even at the cost of higher taxes,0
0.0,1059,Other programmatic and official party documentation,Renua believes in putting the taxpayer first by: focusing on reducing taxes; respecting every Euro of taxpayers’ money; highlighting and eliminating wasteful expenditure of taxpayers’ hard-earned cash.,https://www.renuaireland.com/renua-six-pillars/,IE,Ireland,272,Renua,Renua,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0272/renua-1554968536.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1059,Current/latest national election manifesto,The Green Party will increase direct state funding for third level education by €300 million per annum to prevent increases in the registration fee. ,https://www.greenparty.ie/green-party-launch-general-election-manifesto/ ,IE,Ireland,273,Green Party,Green Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0273/g-1554968624.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1059,Current/latest national election manifesto,"""We are committed to increased investment in public services (p. 38), ""we will increase the overall tax take"" (p. 37)",https://www.sinnfein.ie/files/2016/GE2016ElectionManifesto.pdf,IE,Ireland,380,Sinn Féin,Sinn Féin,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0380/sf-1554890520.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1059,Current/latest national election manifesto,""" We are proposing the tax base be maintained, with some minor adjustments. Instead of stripping out billions, we should be doing things like creating a modern healthcare system, putting in place the infrastructure needed to support business for years to come, sorting out the housing market, rebuilding communities and supporting parents in areas like affordable childcare. €4 to 5bn a year would let us do a lot of very good things in the short term, and let us start planning for big long term challenges like pensions, flooding and climate change."" (p. 4)",http://astaines.eu/wp-content/uploads/2016/02/Social-Democrats-2016-Building-a-Better-Future-2016-2026-Social-Democr.pdf,IE,Ireland,386,Social Democrats,Social Democrats,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0386/sd-1554890484.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1059,Current/latest national election manifesto,"""Billions of Euro are lost to the productive economy each year through tax breaks, loopholes and tax cuts for the owners of capital, the wealthy, property developers and multinational corporations. At present, the workers of this country face an increasingly heavy burden of taxation while the wealthy use every means at their disposal to escape liability for tax. Taxation is necessary to fund decent public investment in public services. Ireland can no longer afford to be a tax haven for the rich. The Workers’ Party stands for: • A programme of progressive taxation, and an immediate end to the abuse of tax breaks and incentives.""",http://workersparty.ie/wp-content/uploads/2015/11/Manifesto.pdf,IE,Ireland,405,The Workers Party,The Workers Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0405/wp-1554890503.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1059,Current/latest national election manifesto,"""We want to implement a range of proposals to both reduce taxes on low and middle-income earners but also to make sure that we have the public services required to meet our country’s social and economic obligations to this and future generations"". But also: "" Eliminate USC for Low and Middle Income earners up to €80,000"", "" Abolish Irish Water & scrap water charges"", ""Double the Home Carer Tax credit to €2,000"" and ""Reduce DIRT by 3%"".",http://michaelpidgeon.com/manifestos/docs/ff/Fianna%20Fail%20GE%202016.pdf,IE,Ireland,407,Fianna Fáil,Fianna Fáil,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0407/ff-1554890443.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1059,Candidate survey response,,,IE,Ireland,527,Direct Democracy Ireland,Direct Democracy Ireland,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0022/candidates/0000/0000/0527/download-1556544926.jpg,Social programmes should be maintained even at the cost of higher taxes,0
