answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
50.0,1147,Current/latest national election manifesto,"Le CSV vise un taux d’investissement constant de l’ordre de 4% du PIB. Les investissements devront concerner des projets d’infrastructures résolument tournés vers l’avenir. Parmi ces projets, on peut citer les projets prioritaires au niveau ferroviaire et routier. L’offre en matière de logements devra également être augmentée de manière substantielle. La construction de nouvelles écoles, de structures d’accueil pour enfants et des infrastructures sociales devra également continuer à progresser. A nos yeux, il est important que l’Etat soit représenté dans les sociétés qui sont stratégiquement les plus essentielles pour notre pays. La gestion des participations étatiques doit être reprise par un fond respectivement une société. Cette société (ou ce fond) gérera de manière professionnelle les participations de l’Etat et déterminera la stratégie à poursuivre par celui-ci ainsi que ses investissements p.ex. au niveau de Cargolux, Arcelor ou encore auprès de banques systémiques. A moyen et long terme, es dividendes ne devraient plus affluer dans le budget de l’Etat, mais être versés entre les mains du fonds à créer. L’actuel fonds souverain intergénérationnel sera intégré dans ce nouveau fonds respectivement dans cette nouvelle société. Les participations étatiques dans des sociétés seront à l’avenir financées via la nouvelle structure. Notre politique fiscale s’orientera sur les lignes directrices suivantes :      elle doit respecter le cadre politique budgétaire ;     elle doit être équitable ;     elle doit renforcer le potentiel concurrentiel de notre économie ;     elle doit servir d’outil de pilotage.  Nous allons examiner la possibilité d’élaborer une politique fiscale durable et la mettre en place.",https://wahlen2018.csv.lu/fr/programm/1-finanzen-haushalt-und-steuern/1-2-steuerpolitik/,LU,Luxembourg,418,Christian Social People's Party,CSV,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0418/csv-1554844754.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1147,Other programmatic and official party documentation,"""Impôts et cotisations sociales sont une condition préalable pour pouvoir assurer les assurances maladie, dépendance et pension. Les transferts sociaux, les services publics ainsi que les investissements pour des infrastructures indispensables (écoles, hôpitaux et établissements d’accueil et de soins, transports en commun, réseau routier et ferroviaire, logement, énergie et approvisionnement en eau, etc.) ne sont possibles que grâce aux recettes fiscales. Dans le cadre de notre modèle social de l’État-providence, la politique fiscale a une double fonction. En plus du financement des services publics, elle assure la redistribution équitable des revenus et des patrimoines. Pour le LSAP, la base d’une politique fiscale socialiste comprend l’imposition individuelle et progressive (les fortes carrures ont dans une communauté de solidarité l’obligation de contribuer davantage que les faibles carrures) ainsi qu’une répartition plus équitable de la charge fiscale entre les impôts directs et indirects, entre capital et travail, entre les entreprises et les ménages privés. La politique fiscale doit répondre à ces exigences. Elle doit décharger financièrement les faibles et moyens revenus et grever davantage les revenus élevés. Une répartition plus équitable renforce tout particulièrement le pouvoir d’achat et est à notre avis une condition préalable à une croissance économique durable. En plus de l’indexation automatique des salaires, traitements et pensions, l’ajustement périodique du barème d’impôts, des prestations familiales et des transferts sociaux sont des moyens essentiels pour renforcer le pouvoir d’achat et la demande intérieure.""",https://www.lsap.lu/fr/le-parti/infos-generales/memento-socialiste/,LU,Luxembourg,419,Luxembourg Socialist Workers' Party,LSAP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0419/lsap-1554845030.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1147,Current/latest national election manifesto,"Als eent vun de klenge Länner aus der Eurozon ass Lëtzebuerg op gesond Staatsfinanzen ugewisen, fir nëmmen ni an eng Situatioun ze kommen, an där europäesch Institutiounen eis Wirtschafts- a Sozialpolitik diktéieren. Mee de Budget vun eisem Zentralstaat weist och a Jore mat strammem Wuesstem Defiziter op. D’Investissementer, déi de Wuesstem no sech zitt, si bei wäitem méi héich ewéi d’Recetten, déi dëse Wuesstem dem Land bréngt.... Avec l'ADR, aucune nouvelle taxe ou taxe ne sera ajoutée à ces augmentations....",https://adr.lu/chamberwalen-2018-eise-walprogramm/#__RefHeading___Toc8165_2005165177,LU,Luxembourg,421,Alternative Democratic Reform Party,ADR,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0421/adr-1554845224.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1147,Self-placement documentation,,www.déikonservativ.lu,LU,Luxembourg,437,The Conservatives,déi Konservativ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0437/dei%20konservativ%20logo-1554886059.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1147,EU Election manifesto 2019 of national party / self-placement documentation,"Fir ee bedéngungslost Grondakommes an der EU De Problem: All Mënsch huet d’Recht op eng sécher Existenz a gesellschaftlech Participatioun. Ee Mënsch kann nëmmen a Würd liewen, wa fir seng Grondbedierfnisser gesuergt an him eng gesellschaftlech Participatioun méiglech ass. An eiser Geldwirtschaft ass dozou en Akommes noutwenneg. Wann een Akommes nëmmen duerch Aarbecht erzielt ka ginn, muss zur Sécherung vun der Würd vun alle Mënsche Vollbeschäftegung herrschen. Ënnert dëser Viraussetzung ass Vollbeschäftegung bis elo ee grousst Ziel vun der Wirtschaftspolitik.. Mer kënnen net méi drop setzen, datt eng staark Ekonomie schonns iergendwéi fir Vollbeschäftegung suerge wäert. D’Nofro no Aarbecht gëtt op laang Siicht méi kleng. Duerch Automatiséierung an Optimiséierung verschwannen ëmmer méi Aarbechtsplazen an Aarbecht gëtt ëmmer méi vu Maschinne gemaach. Dëst bedeit datt ëmmer manner Mënsche kennen eng 40-Stonne- Woch leeschten. Als Konsequenz musse mir mat engem méi héijen Aarbechtslosentaux oder mat méi kuerzen Aarbechtswochen eens ginn. Mir brauchen dofir nei Léisungen, déi der steigender Automatiséierung an dem technesche Fortschrëtt gerecht ginn. Donieft detachéiert sech d’kulturell Produktioun vum Marché. Ëmmer méi kulturell wichteg Produiten, wéi z.B. d’online Enzyklopedie Wikipedia oder Open Source Projete wéi de Betribssystem Linux baséieren op fräiwëlleger Aarbecht vun dausende vu Contributeuren. Dëst ass en Trend, dee weist datt et e Bedarf fir Mënsche gëtt sech onofhängeg vun enger klassescher bezuelter Aarbecht ze betätegen. Och dëst ass en Trend dee mir musse begleeden an dofir suergen, datt keen an d’Aarmut rutscht obwuel en allgemeng wäertvoll Aarbecht leescht. Mir Pirate sinn der Iwwerzeegung, datt eng iwwerwältegend Majoritéit vu Mënschen eng sécher Existenz als Grondlag fir d’Entfale vun hire wirtschaftlechen a soziale Potentialer notze wäert. Sécher Existenz schaaft e Fräiraum fir selbstbestëmmten Educatioun a Fuerschung souwéi ekonomesch Innovatioun. Se erliichtert an erméiglecht éierenamtlech Engagement, beispillsweis d’Fleeg vu Familljememberen, d’Erzéiung vu Kanner, onofhängege Journalismus, politesch Aktivitéit oder d’Schafe vu Konscht a fräier Software. Heivunner profitéiert di ganz Gesellschaft. D’Léisung: D’Piratepartei setzt sech fir en bedéngongslost Grondakommes fir jiddereen an, fir eng sécher Existenz, gesellschaftlech Participatioun souwéi ekonomesch Fräiheet ze erméiglechen. E Grondakommes ass en Akommes, wat all Bierger – ouni Géigeleeschtung vum Staat – ausbezuelt kritt. Dëst verhënnert net de Räichtum, mee d’Aarmut. E Grondakommes offréiert eng Léisung fir déi viru genannte Problemer vun engem digitaliséierten, automatiséierten a globale Marché. Wou fréier Maartineffizienzen dozou gefouert hunn, datt méi Leit konnte beschäftegt ginn, huet d’Technologiséierung dozou gefouert, datt ëmmer méi Ineffizienze verschwannen. Et geet esou wäit, datt iwwer Internet villes “gratis” oder bal “gratis” ass. D’Grondakommes ass eng Léisung fir dës Entwécklung positiv ze begleeden. Engersäits garantéiert de System jidderengem e Mindestakommes. Anerersäits lount sech d’Aarbecht ab dem éischten Euro deen ee verdénge kann, ganz am Contraire zum aktuelle System. Och benéidegt e System mat Grondakommes keng Vollbeschäftegung méi, mee encouragéiert souguer Deelzäitaarbecht an erméiglecht sou méi perséinlech Fräiheet a selbstbestëmmt Participatioun um Aarbechtsmarché. Doriwwer eraus valoriséiert e Grondakommes de Benevolat, well och gesellschaftlech wichteg, ma onbezuelten Aarbecht, iwwer d’Grondakommes d’Grondbedierfnisser séchert. D’Piratepartei schwätzt sech kloer fir e Grondakommes als konsequente Neistart vun eisem Sozialsystem aus. Eis Iddie vum Grondakommes kann iwwer d’Aféiere vun enger negativer Akommessteier finanzéiert ginn. Dëst bedeit, datt de Steiersystem fir jidderee vill méi einfach gëtt. No dësem Steiersystem bezilt eng Persoun eréischt ab enger gewëssener Héicht Steieren – wien manner verdéngt wéi d’Héicht vum Fräibetrag, kritt Steieren ausbezuelt. Wien méi verdéngt, bezilt op sengem Akommes de Steiersaz. Doduerch kritt jidderee ee Grondakommes ausbezuelt, wat sech an all Fall dann awer mat de bezuelte Steiere vum vereinfachte Steiermodell géif verrechnen. Eng Persoun, déi manner wéi oder genee de Fräibetrag géif verdéngen, bréicht also keng Steiere op hirem Verdéngscht ze bezuele. Si hätt also d’Grondakommes plus hirt Akommes an der Täsch, ee Netto-Gewënn. Eng Persoun, déi awer méi verdéngt, wéi de Fräibetrag, misst an dem Fall Steiere bezuelen.",Soon available on the website www.piraten.lu,LU,Luxembourg,438,Pirate Party Luxembourg,Piratepartei ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0438/piraten%20logo-1554886216.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1147,Other programmatic and official party documentation,"""The future of a united Europe relies on solving current economic challenges. This includes the lingering effects of the 2008 crisis on the European economies; high unemployment, in particular youth unemployment; threats and opportunities arising from digitisation; and precarious sustainability in the budgets of Member States. The economic vision set by Volt Europa requires our societies to reduce inequalities between EU economies and face future economic challenges with informed, data-driven approaches.""",https://www.volteuropa.org/vision,LU,Luxembourg,439,Volt Luxembourg,Volt ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0439/volt%20logo-1554886318.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1147,Current/latest national election manifesto,"""[S]eitens des Staates [müssen] Maßnahmen ergriffen werden, um Menschen mit niedrigem Einkommen unter die Arme zu greifen und die Armut zu beseitigen.""",https://docs.google.com/viewerng/viewer?url=https://powr.s3.amazonaws.com/app_images/resizable/Walprogramm%2Bvun%2Bder%2BKPL%2B-%2BFR-DE.pdf,LU,Luxembourg,444,Communist Party of Luxembourg,KPL,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0444/unknown-1554894185.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1147,EU Election manifesto 2019 of national party,"""Wir Grünen kämpfen resolut für eine gerechte Gesellschaft, in der Ungleichheiten zwischen Arm und Reich verringert werden. Schluss mit dem Europa des Sparzwangs, hin zu einem Europa, das in die Zukunft seiner Bürger*Innen investiert und damit vorrangig gegen Armut und Arbeitslosigkeit agiert. Um dies zu finanzieren, wollen wir sicherstellen, dass in Europa jede*r seinen Beitrag für die Gesellschaft erbringt."" (Gréngen EU Wahlprogramm 2019, S. 10)",http://wielgreng.lu/wp-content/uploads/2019/03/Gréngen-EU-Wahlprogramm-2019.pdf,LU,Luxembourg,486,The Greens,déi Gréng,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0486/logo%20dei%20greng-1554930723.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1147,Current/latest national election manifesto,"No link between social programmes and taxes mentioned. But: ""Ein [...] Schwerpunkt für die DP ist die Bekämpfung der Armut und der sozialen Ausgrenzung."" (DP Wahlprogramm 2018, S. 39)",https://www.dp.lu/sites/default/files/DP-Wahlprogramm-2018.pdf,LU,Luxembourg,489,Democratic Party,DP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0489/dp-1554932610.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1147,EU Election manifesto 2019 of national party,"Aucune mention sur la question des impôts. Mais: déi Lenk veut ""remettre le travail et le social au centre des luttes"". Déi Lenk veut, par exemple, ""rompre avec la politique actuelle qui fait passer les libertés économiques avant le droit social"" et ""lutter avec les travailleurs, les travailleuses et les syndicats pour consolider et élargir le droit social européen et empêcher le dumping social entre pays"". (Programme pour les élections européennes 2019, p. 10)",http://www.dei-lenk.lu/wp-content/uploads/2019/03/ProgrammedLEurope2019-1.pdf,LU,Luxembourg,490,The Left,déi Lénk ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0026/candidates/0000/0000/0490/logo-new-1554932294.png,Social programmes should be maintained even at the cost of higher taxes,0
