answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
25.0,1103,Partijas pašnovērtējums,,,LV,Latvia,362,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK",NA (VL-TB/LNNK),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0362/logo_na-1554878471.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1103,"Intervijas, preses relīzes un komunikācija sociālajos medijos (partijas līderis un vadošie kandidāti)","Lai saglabātu un nākotnē palielinātu publiski pieejamo pakalpojumu apjomu un kvalitāti, kā arī nodrošinātu tautsaimniecības ilgtermiņa stabilitāti, būtiski ir izstrādāt un īstenot stabilu un prognozējamu nodokļu politiku. Nodokļu slogam ir jābūt tādam, kas spēj nodrošināt kvalitatīvu valsts pakalpojumu uzņēmumiem un sabiedrībai, kā arī – būtiski! - jānodrošina sociālā drošība visiem valsts iedzīvotājiem! (Arvils Ašeradens)",https://lvportals.lv/dienaskartiba/284010-aseradens-nodoklu-politikas-merki-ekonomika-ar-augstu-pievienoto-vertibu-ilgtspeja-un-regionu-attistiba-2016,LV,Latvia,363,New Unity Party,JV,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0363/logo_jauna_vienotiba-1554878357.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1103,Pašreizējā / pēdējā programma nacionālajām vēlēšanām,Iestāsimies par atbildīgu un sociāli taisnīgu fiskālo politiku. ,https://sv2018.cvk.lv/pub/CandidateLists/CandidateList?id=ZTTi%2BonHCl%2BU6o9Y9odlVw%3D%3D,LV,Latvia,364,"Social Democratic Party ""Harmony""",Saskaņa,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0364/logo_saskana-1554878493.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1103,"Intervijas, preses relīzes un komunikācija sociālajos medijos (partijas līderis un vadošie kandidāti)","Lai palielinātu Latvijas investicionālo pievilcību, Latvijas Krievu savienība ir piedāvājusi pazemināt darbaspēka izmaksas. Lai to panāktu, ir nepieciešams pakāpeniski paaugstināt neapliekamo minimumu līdz 500 eiro; pazemināt ienākuma nodokli līdz 15% ; samazināt PVN masu pārtikas precēm, zālēm un komunālajiem pakalpojumiem.",https://www.valmieraszinas.lv/partijas-atbild-latvijas-krievu-savienibas-redzejums-par-latvijas-prioritatem/,LV,Latvia,365,Latvian Russian Union ,LKS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0365/logo_lks-1554878453.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1103,"Intervijas, preses relīzes un komunikācija sociālajos medijos (partijas līderis un vadošie kandidāti)","Mēs sakām, ka ir prioritāri jautājumi, kas jāatrisina, un tie ir – kur nopelnīt un ietaupīt, lai pēc tam būtu ko dalīt. (Aldis Gobzems)",https://www.delfi.lv/news/saeimas-velesanas/par-ko-balsot/kpv-lv-sarkano-liniju-trukums-un-arkartas-velesanas-pilns-ieraksts.d?id=50453691,LV,Latvia,366,Who owns the state?,KPV LV,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0366/logo_kpvlv-1554878378.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1103,Nacionālās partijas programma 2019. gada Eiropas Parlamenta vēlēšanām,"Iestāsimies par darbinieku tiesību un sociālo garantiju vienotu standartu ES. Eiropas Sociālā pīlāra principiem jākļūst juridiski saistošiem. Atbalstīsim ES mēroga formulu minimālās algas un pensiju aprēķināšanai, kā arī vienotu bezdarbnieku pabalsta sistēmu. Rosināsim Eiropas līmenī investēt valsts un pašvaldību mājokļu programmās. Stiprināsim sociālo garantiju aizsardzību ES iekšējās migrācijas gadījumā.",https://epv2019.cvk.lv/pub/kandidatu-saraksti/progresivie,LV,Latvia,428,Progressives,Progresīvie,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0428/logo_progres%C4%ABvie-1554874857.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1103,Partijas vēlēšanu platforma,"Latvija ir sociāli atbildīga valsts, kuras nodokļu ieņēmumiem ir jātuvojas vidējam Eiropas līmenim. Ja Latvijā 2016. gadā nodokļu ieņēmumi sastādīja 30% no iekšzemes kopprodukta, tad Eiropā vidējais līmenis bija 40%. Nodokļu iekasēšanas mazspēja un salīdzinoši zemās likmes ir iemesls hroniskam naudas trūkumam izglītības, veselības un sociālajā budžetā. Ar nodokļu sistēmas izmaiņām un efektīvu, taisnīgu nodokļu iekasēšanu 5 gadu laikā sasniegsim OECD vidējo nodokļu ieņēmumu līmeni (35%). ",https://kustibapar.lv/programma/,LV,Latvia,429,Development/For!,A/P!,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0429/logo_att%C4%ABst%C4%ABbai-par-1554878613.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1103,"Intervijas, preses relīzes un komunikācija sociālajos medijos (partijas līderis un vadošie kandidāti)","Zaļo un zemnieku savienības (ZZS) Saeimas frakcijas deputāti ir sagatavojuši un iesnieguši izskatīšanai parlamentā grozījumus Solidaritātes nodokļa likumā, lai 2019. gadā varētu turpināt šī nodokļa iekasēšanu, tādējādi sekmējot iedzīvotāju ienākumu nevienlīdzības mazināšanu un prognozējamus ieņēmumus valsts budžetā. [...] Solidaritātes nodokļa mērķis ir nodrošināt progresivitāti ienākuma nodokļa jomā – darba ņēmējiem un pašnodarbinātajiem ar augstākiem ienākumiem arī ienākuma nodokļa likme ir augstāka. Papildu ieņēmumi valsts budžetā tiek novirzīti sociālās aizsardzības un veselības aprūpes pasākumu finansēšanai. [...] Solidaritātes nodoklis 1 procentpunkta apmērā tiks novirzīts veselības aprūpes pakalpojumu finansēšanai, 13,59 procentpunkti valsts pensiju finansēšanai, 10,5 procentpunkti iedzīvotāju ienākuma nodoklim, bet 6 procentpunkti - valsts pensiju finansēšanai otrajam un trešajam līmenim, 4 procentpunkti - privāto pensiju fondu pensiju plāniem.",http://www.zzs.lv/sakums/zzs-iestajas-pret-centieniem-mazinat-socialo-vienlidzibu-un-nodoklu-progresivitati?pp=,LV,Latvia,431,Union of Greens and Farmers,ZZS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0431/logo_zzs-1554881609.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1103,Partijas pašnovērtējums,,,LV,Latvia,433,Latvian Association of Regions,LRA,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0433/logo_lra-1554883676.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1103,Cita programmatiska un oficiāla partijas dokumentācija,"Jaunās konservatīvās partijas (JKP) rīcība ekonomikas un nodokļu jomā paredz sistēmas maiņu, ieviešot “Rīcības plānu – 500!”, informē Jānis Bordāns, JKP valdes priekšsēdētājs un partijas nominētais ministru prezidents 13.Saeimas vēlēšanām. [...] tiks ieviesta minimālā pensija vismaz 200 eiro apmērā (pašlaik zem 100 eiro). [...] JKP “Rīcības plāns – 500!” paredz ievērojami palielināt ģimenes valsts pabalstus: sākot no 50 eiro par vienu bērnu (pašlaik – 11 eiro) līdz 300 eiro trīs bērnu ģimenei (pašlaik – 67 eiro). [...] Papildu ieņēmumus plānots gūt uzlabojot nodokļu iekasēšanu būvniecības nozarē, tostarp palielinot ģenerāluzņēmēja atbildību, kā arī palielinot alkohola, tabakas un azartspēļu nodokļus un ieviešot vēl citus risinājumus.",https://konservativie.lv/2018/04/25/jkp-plano-latvijas-vesture-lielako-nodoklu-sloga-mazinasanu/?fbclid=IwAR1aYP1ajUOAUxW67wYvZl7qQpy9BAYyXBfP_yAZvMDJeyvwFgzdwkQHM6Y,LV,Latvia,436,New Conservative Party,JKP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0024/candidates/0000/0000/0436/logo_jkp-1554885993.png,Social programmes should be maintained even at the cost of higher taxes,0
