answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
25.0,1191,TK Verkiezingsprogramma 2017,"Het is van belang dat werk meer gaat lonen. Dit is nog niet altijd het geval, waardoor het financieel gunstiger kan zijn om juist van een uitkering gebruik te blijven maken. Daarmee worden talenten onnodig verspild en dat is eeuwig zonde. Daarom willen wij de belastingen op werk verlagen, zodat het verschil tussen uitkeringen en werken wordt vergroot. (p.36)",https://www.vvd.nl/content/uploads/2016/11/2_vvd_verkiezingsprogramma_pages.pdf,NL,The Netherlands,247,People's Party for Freedom and Democracy,VVD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0247/vvd-1554887240.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1191,Partij website,"""Het is goed dat in Nederland geprobeerd wordt om voor iedereen te zorgen en niemand buiten de boot te laten vallen. Die sociale kant van onze samenleving wil Forum voor Democratie behouden en waar nodig versterken. Daar staat tegenover dat we selectiever moeten zijn in het aanbieden van uitkeringen en andere sociale voorzieningen. De uitkering moet een vangnet zijn – geen hangmat. Sommige uitkeringen zijn nu te royaal en de uitvoering daarvan dient te worden aangescherpt.  Werken moet onder alle omstandigheden lonen. Het verschil tussen bruto- en nettoloon moet worden verkleind door lagere belastingen en premies. Dit creëert banen, omdat Nederlandse werknemers dan beter kunnen concurreren met het buitenland.""",https://forumvoordemocratie.nl/standpunten/sociale-voorzieningen,NL,The Netherlands,300,Forum for Democracy,FvD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0300/fvd-1554887186.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1191,TK Verkiezingsprogramma 2017,"In een eerlijke economie profiteert iedereen mee van het werk dat we samen verzetten, draagt iedereen bij aan collectieve regelingen en hebben alle werkenden recht op ondersteuning bij ziekte of arbeidsongeschiktheid.",https://www.cda.nl/standpunten/verkiezingsprogramma/,NL,The Netherlands,337,Christian Democratic Appeal,CDA,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0337/cda-1554887205.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1191,Partij website,"De overheid moet belasting heffen om zaken als onderwijs, zorg, de wegen en de politie te betalen. De SP wil dat hierbij solidariteit het uitgangspunt is: de sterkste schouders dragen de zwaarste lasten. Wie meer kan bijdragen, moet dat doen. En wie minder heeft, hoeft minder bij te dragen. Wat de SP betreft dient het belastingstelsel een grotere bijdrage te leveren aan het verkleinen van de inkomensverschillen.",https://www.sp.nl/standpunt/belastingstelsel,NL,The Netherlands,342,Socialist Party,SP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0342/sp%20logo%20alleen%20tomaat-1554909280.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1191,Parlementaire handelingen,De PVV is voor het op peil houden van sociale voorzieningen. Echter zijn wij geen voorstander van hogere belastingen.,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2017Z18688&did=2017D38508,NL,The Netherlands,367,Freedom Party,PVV,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0367/pvv%20vierkant-1554907273.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1191,Partij website,We zijn tegen bezuinigingen op sociale voorzieningen en zorg.,https://www.partijvoordedieren.nl/standpunten/werk-en-inkomen ,NL,The Netherlands,368,Animal Party,PvdD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0368/pvdd_logo-1554907218.jpg,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1191,EP Verkiezingsprogramma 2014,"De Europese volken zijn door de eeuwen heen diepgaand beïnvloed door de culturele, sociale en morele waarden van de Bijbel. In de Kerk als leerhuis van God raakten burgers vertrouwd met de basiswaarden van het recht, verzoening, vrede en vrijheid alsmede de plicht om hulp te bieden aan ""de weduwen, de wezen, de armen en de vreemdeling"" (Zacharia 7:10). ChristenUnie en SGP willen leven en werken in en vanuit die christelijke traditie.",https://www.christenunie.nl/programma_europa,NL,The Netherlands,413,Christian Union - Reformed Party,CU-SGP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0413/cu-sgp-vierkant-1554906089.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1191,TK Verkiezingsprogramma 2017,"""Ons stelsel van sociale zekerheid biedt houvast en zekerheid aan ons allemaal. Die verworvenheden willen we behouden door ze te laten aansluiten bij de huidige tijd. Een tijd waarin bedrijfstakken opkomen en verdwijnen, banen niet meer voor het leven zijn, mensen dubbele banen en zorgplichten hebben en ongehuwd samenwonen. Sociale zekerheid moet grote schokken helpen opvangen, snelle terugkeer naar werk bevorderen en met name de mensen met de minste financiële weerbaarheid helpen. En dat alles zo simpel mogelijk, uitgaand van vertrouwen en met zo min mogelijk verstorende effecten voor werk, zorg en wonen. """,https://verkiezingsprogramma.d66.nl/programma/meer-werk-bereikbaar-voor-iedereen/#sociale-zekerheid,NL,The Netherlands,435,Democrats '66,D66,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0435/d66%20vierkant-1554887224.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1191,TK Verkiezingsprogramma 2017,"Deze verzorgingsstaat staat echter in toenemende mate onder druk door het neoliberalisme en verkeerde politieke keuzes. DENK verzet zich tegen de afbouw van de verzorgingsstaat, want wie je ouders ook zijn, waar je wieg ook stond of wat je leeftijd ook is: in het Nederland van DENK wordt niemand aan zijn of haar lot overgelaten. ",https://www.bewegingdenk.nl/wp-content/uploads/2016/11/Verkiezingsprogramma_DENK_2017-2021.pdf,NL,The Netherlands,441,DENK,DENK,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0441/denk-1554887158.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1191,Partij website,"""Afbraak verzorgingsstaat moet worden gestopt."" Er moet ""een goed sociaal vangnet blijven voor mensen die niet mee kunnen komen.""",https://50pluspartij.nl/actueel/2860-sociale-staat-van-nederland-23-januari-2019,NL,The Netherlands,448,50PLUS,50+,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0028/candidates/0000/0000/0448/50%20plus-1554900055.png,Social programmes should be maintained even at the cost of higher taxes,0
