answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
50.0,1345,Budgetmotion 2019,Sverige är ett land där alla människor ska ha utrymme att välja sin egen väg i livet. För att ge alla människor bra möjligheter krävs en balans mellan grundläggande skyddsnät och att staten inte får bli så stor att den står i vägen. Välfärdsambitioner kräver i sin tur hög sysselsättning och tillväxt. Ingen välfärd är möjlig utan att det först finns välstånd att fördela.,http://www.riksdagen.se/sv/dokument-lagar/dokument/motion/liberalernas-budgetmotion-2019_H6022988/html,SE,Sweden,277,The Liberals,L,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0277/logo-l-large-ny3-1555010057.jpg,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1345,Nyhetsartikel,"Centerpartiets ekonomiska politik har konsekvent fokuserat på att effektivisera statens budget och kapa ineffektiva åtgärder och satsningar till förmån för satsningar som stärker tillväxt, jobb och företagande med en stark välfärd. Företagen som anställer är en förutsättning för att vi ska kunna få in de skatter som behövs för välfärden. Då är en klok politik att satsa på de som skapar jobb. Det möjliggör svensk välfärd.",http://www.mynewsdesk.com/se/pressreleases/centerpartiets-vaarmotion-fler-jobb-och-minskade-statliga-utgifter-1386796,SE,Sweden,278,Centre Party,C,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0278/centern-1554927492.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1345,Valmanifest 2018,"Seriös ekonomisk politik lovar inte allt åt alla, utan prioriterar jobb och välfärd framför bidrag. Höjda skatter och krångliga regler får inte strypa tillväxt och företagande. Det är uppenbart att det inte är en långsiktigt hållbar väg för att öka välfärdens resurser. I stället behöver fler gå till jobbet och färre gå på bidrag.",https://moderaterna.se/sites/default/files/page_attachments/2018-08/Valmanifest%20HÖG%20180820.pdf,SE,Sweden,279,Moderate Party,M,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0279/m_logo_bla_1-1554927399.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1345,SD budgetmotion 2019 samt principprogram,"Sverigedemokraterna anger redan i principprogrammets första mening att vi ser upprätthållandet av en solidarisk välfärdsmodell som ett av de viktigaste verktygen i byggandet av det goda samhället. Med några av världens högsta skatter finns dock goda förutsättningar att återbygga välfärden utan höjda skatter, om vi omdisponerar befintliga resurser. Exempel på hur vi ämnar åstadkomma det finns bl.a. i budgetmotionen 2019.",https://sd.se/wp-content/uploads/2013/08/principprogrammet2014_webb.pdf,SE,Sweden,280,Sweden Democrats,SD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0280/sverigedem-1554896400.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1345,Valmanifest 2018,"""Nästa mandatperiod vill vi - genomföra en bred skattereform med grön skatteväxling som grund. Vi vill se blocköverskridande skattesamtal och nå överenskommelser som gynnar cirkulär och delandets ekonomi, minskar hushållens skuldsättning, utjämnar dagens växande ekonomiska klyftor och långsiktigt tryggar välfärden"" (sida 24)",https://www.mp.se/sites/default/files/nu_valmanifest_a5_webb_.pdf,SE,Sweden,410,Green Party,MP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0410/milj%C3%B6partiet-1554896485.jpg,Social programmes should be maintained even at the cost of higher taxes,0
0.0,1345,Partiets hemsida,"""Skatterna är för höga i Sverige. Kristdemokraterna vill se lägre skatter på arbete och pension för att fler ska få behålla mer av sina inkomster. Därför föreslår vi en bred skattelättnad för alla, dubbelt jobbskatteavdrag för bland annat de som står långt från arbetsmarknaden och att skillnaden i skatt mellan pension och arbete tas bort.""",https://kristdemokraterna.se/ekonomi-och-skatter/,SE,Sweden,411,Christian Democrats,KD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0411/kristdemokraterna_logo-1554896646.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1345,Partiets hemsida,"""Skatt, liksom välfärd och ekonomi, är verktyg i byggandet av ett demokratiskt, jämlikt, jämställt och hållbart samhälle fritt från diskriminering, våld och exploatering av miljö och människor.""; ""Bolagsskatten har sedan 2008 sänkts från 28 procent till dagens 22 procent. En höjning här är önskvärd, åtminstone till OECD:s genomsnittsnivå.""",https://feministisktinitiativ.se/politik/ekonomi-for-en-hallbar-varld/feministisk-skattepolitik/,SE,Sweden,412,Feminist Initiative,FI,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0412/feministisktinitiativ-1554896704.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1345,Partiets hemsida,"""Socialdemokraterna vill använda den ekonomiska styrkan till investeringar i jobb, skola, vård och omsorg. Ett starkt samhälle med en trygg välfärd går före stora skattesänkningar.  Socialdemokraterna vill: öka investeringarna i välfärden med minst 30 miljarder nästa mandatperiod""",https://www.socialdemokraterna.se/var-politik/a-till-o/ekonomi/,SE,Sweden,414,Social Democrats,S,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0414/socialdemokraterna-1554896161.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1345,Partiets hemsida,"""Vi vill ha högre skatteintäkter än idag, så att vi kan satsa på att skapa fler jobb, på kvalitetshöjningar i välfärden och på investeringar i bostäder och infrastruktur som gynnar både människor och klimat. Framför allt är det skatt på stora förmögenheter och kapitalinkomster som behöver höjas.""",https://www.vansterpartiet.se/politik/skatter/,SE,Sweden,415,Left,V,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0415/1200px-left_party_(sweden)_logo.svg-1554896298.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1346,Budgetmotion 2019,"""Utanförskap och bidragsförsörjning ska inte gå i arv. Därför måste vi göra mer för att fler ska kunna lämna bidragen. Genom att fokusera på vad människor kan bidra med visar samhället tilltro till människors förmåga. Vi vill sänka skatten för den som lämnar försörjningsstöd för arbete.  Alla kommuner måste ställa krav på en motprestation för att få försörjningsstöd för den som är arbetsför. Det kan handla om att man som arbetslös ska läsa sfi, ta ett praktikjobb eller söka arbete även utanför kommungränsen.  Därtill behövs en bidragskommission som ska ta fram förslag på hur man kan bryta det långvariga bidragsberoendet. Det kan handla om att se hur bidragen bör minska för personer som aktivt förlänger arbetslösheten genom att tacka nej till jobberbjudanden eller undersöka om etableringstillägget kan individualiseras. Det behövs också ett bidragstak så att det alltid lönar sig att arbeta i förhållande till att leva på bidrag.""",http://www.riksdagen.se/sv/dokument-lagar/dokument/motion/liberalernas-budgetmotion-2019_H6022988/html,SE,Sweden,277,The Liberals,L,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0035/candidates/0000/0000/0277/logo-l-large-ny3-1555010057.jpg,The state should provide stronger financial support to unemployed workers,1
