answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
50.0,1301,Volilni program stranke,Neutemeljena ,http://nsi.si/wp-content/uploads/2018/08/NSi_misli_resno_www.pdf,SI,Slovenia,513,Nova Slovenija - Krščanski demokrati,NSi,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0513/nsi-1556105079.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1301,Obstoječi / zadnji manifest stranke za državnozborske volitve,Odvisno od socialnih programov.,https://www.strankalms.si/o-stranki/program-nacrt-dela/,SI,Slovenia,514,Lista Marjana Šarca,LMŠ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0514/lms-1556105247.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1301,,Politična stranka do zaključka pozicioniranja dne 26. aprila 2019 ni navedla vira oz. le-ta ni bil javno dostopen.,,SI,Slovenia,515,Socialni demokrati,SD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0515/sd-1555059533.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1301,Program Levice za evropske volitve,"Na evropski ravni bomo določili osnovne socialne naloge,  ki jih mora opravljati vsaka država članica. V njih bomo  določili skupne standarde pokojninske varnosti,  socialne države in socialnih pravic.",http://www.levica.si/wp-content/uploads/2019/04/Za-Evropo-ljudi-ne-kapitala-program-za-evropske-volitve-2019.pdf,SI,Slovenia,518,Levica,Levica,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0518/levica-1556105260.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1301,Volilni manifest stranke za evropske volitve 2019,"Vprašanje ni zgolj v višini davkov temveč pravične razdelitve davčnega bremena. Luknja, ki je posledica davčnih utaj in skritih davčnih popustov multinacionalkam bi več kot zapolnila manjkajoči del sredstev za zagotovitev kvalitetnega izvajanja socialnih programov.",https://povežimo.se/,SI,Slovenia,519,Povežimo.se,Povežimo.se,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0519/povezimo-se-1556107011.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1301,Obstoječi / zadnji manifest stranke za državnozborske volitve,Socialno varnost bo treba zagotavljati na drugačen način.,https://www.sab.si/wp-content/uploads/2018/04/2018-04-23-AB-Program-Web.pdf,SI,Slovenia,520,Stranka Alenke Bratušek,SAB,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0520/sab-1556107642.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1301,Volilni program stranke,Razbremenitev in razdolžitev podjetij in podjetnikov sta predpogoja za rast (Stop novim davkom in birokraciji).,https://www.sds.si/sites/default/files/inline-images/Program-za-rast-in-nova-delovna-mesta-marec-2014.pdf,SI,Slovenia,521,Slovenska demokratska stranka,SDS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0521/sds-1556108457.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1301,,Politična stranka do zaključka pozicioniranja dne 26. aprila 2019 ni podala podrobnejše razlage svojega stališča oz. le-ta ni bila razvidna iz volilnega programa ali drugih javno dostopnih virov.,,SI,Slovenia,522,Slovenska ljudska stranka,SLS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0522/sls-1556109043.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1301,Obstoječi / zadnji manifest stranke za državnozborske volitve,"Prizadevamo si za solidarno, varno in dostojno življenje vseh prebivalcev Slovenije. Želimo večjo preglednost socialnih transferjev in večjo dostopnost do socialnih storitev. Zaradi neugodnih demografskih trendov se zavzemamo za kakovosten sistem dolgotrajne oskrbe, kasnejše upokojevanje ter uporabo obstoječega državnega premoženja za zagotovitev dostojnih pokojnin za bodoče upokojence. ",https://www.strankasmc.si/wp-content/uploads/2018/09/Program-SMC_2018-2022-Končni.pdf,SI,Slovenia,523,Stranka modernega centra,SMC,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0523/smc-1556109787.png,Social programmes should be maintained even at the cost of higher taxes,0
,1301,,Politična stranka do zaključka pozicioniranja dne 26. aprila 2019 ni navedla vira oz. le-ta ni bil javno dostopen.,,SI,Slovenia,524,Slovenska nacionalna stranka,SNS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0524/sns-1556110916.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1301,,Politična stranka do zaključka pozicioniranja dne 26. aprila 2019 ni navedla vira oz. le-ta ni bil javno dostopen.,,SI,Slovenia,525,Domovinska liga,DOM,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0525/dom-1556111807.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1301,Obstoječi / zadnji manifest stranke za državnozborske volitve,Dosegli bomo učinkovito razdeljevanje sredstev in optimizirali organizacijo socialnega sistema.,https://www.dobradrzava.si/program-stranke,SI,Slovenia,533,Dobra država,DD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0533/dobra-1556544698.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1301,"Intervjuji, izjave za javnost in komunikacija prek družbenih omrežij ( vodje / voditeljice in vodilnih kandidatov stranke)","Kramar je opozoril tudi, da davke potrebujemo za normalno delovanje države, s čimer se je strinjal Robert Polnar (DeSUS). Kdor podpira politiko nizkih davkov, po njegovih besedah ogroža sedanjost in prihodnost, svojo in svojih otrok. Namesto znižanja DDV zato v DeSUS predlagajo povečanje davčne discipline in racionalizacijo proračunske porabe.",https://www.delo.si/novice/slovenija/drzavni-zbor-proti-znizanju-ddv-107029.html,SI,Slovenia,534,Demokratična stranka upokojencev Slovenije,DeSUS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0534/download-1-1556545082.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1301,Obstoječi / zadnji manifest stranke za državnozborske volitve,"Na področju socialne politike bomo sledili načelu, da tisti, ki dela, živi bolje kot tisti, ki ne dela.",https://www.facebook.com/pg/ZeleniSlovenije/about/?ref=page_internal,SI,Slovenia,535,Zeleni Slovenije,ZS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0535/42982711_1967381399964154_5486492791297015808_n-1556544417.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1301,Obstoječi / zadnji manifest stranke za državnozborske volitve,"Čas je za ukinitev vsiljenega davčnega sistema in redefinicijo davkov tako, da ne bodo več davili siromašnega ljudstva in ljudi spravljali v revščino. Čas je za finančno osvoboditev.",https://www.zedinjenaslovenija.si/volilni-program-2018/,SI,Slovenia,536,Gibanje Zedinjena Slovenija,ZSi,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0033/candidates/0000/0000/0536/31819449_1233780420058681_4535857314254553088_n-1556544484.png,Social programmes should be maintained even at the cost of higher taxes,0
