answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
75.0,1367,Party election platfom,The collective provision of public services and the NHS can be delivered through government action,https://www.theindependent.group/statement,UK,United Kingdom,455,Change UK – The Independent Group,Change UK ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0455/changeuk-1554906800.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1367,Party election platfom,"We will Increase Employment and Support Allowance (ESA) by £30 per week for those in the work-related activity group, and repeal cuts in the UC limited capacity for work element. ",https://labour.org.uk/manifesto/social-security/#second,UK,United Kingdom,456,Labour Party,Labour ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0456/labour-1554907159.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1367,Party election platfom,"We will invest at the level required to do so, while tackling at source the causes of increased pressure on our NHS",https://www.greenparty.org.uk/assets/images/national-site/political-programme-web-v1.2.pdf,UK,United Kingdom,457,The Green Party,Green Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0457/green-1554907620.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1367,Current/latest national election manifesto," An immediate 1p rise on the basic, higher and additional rates of Income Tax to raise £6 billion additional revenue which would be ringfenced to be spent only on NHS and social care services.",https://www.libdems.org.uk/health,UK,United Kingdom,462,Liberal Democrats,Liberal Democrats,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0462/libdem-1554914546.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1367,"Interviews, press releases and social media communication (party leader and leading candidates)","People in Wales could be asked to pay an extra 1p in the basic rate of income tax to boost public services, the Plaid Cymru conference has been told.",https://www.bbc.co.uk/news/uk-wales-politics-39166102,UK,United Kingdom,463, Plaid Cymru – Party of Wales,Plaid Cymru,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0463/plaid-1554915078.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1367,Current/latest national election manifesto,"We will increase the Minimum Wage to the Living Wage, because nobody should be expected to work for a wage that keeps them in poverty.",https://greens.scot/policy/economy,UK,United Kingdom,464,Scottish Green Party,Scottish Greens,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0464/scotishgreens-1554915471.png,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1367,,it was the SDLP MPs who stood up for our welfare system ,https://www.sdlp.ie/issues/manifesto-2017/,UK,United Kingdom,465,The Social Democratic and Labour Party,SDLP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0465/sdlp-1554915790.jpg,Social programmes should be maintained even at the cost of higher taxes,0
50.0,1367,Current/latest national election manifesto,Over the next five years we will invest an additional £1.3 billion in health and social care partnerships to meet the needs of an ageing population.,https://www.snp.org/policies/pb-how-will-the-snp-support-and-improve-public-services/,UK,United Kingdom,468,Scottish National Party,SNP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0468/snp-1554916985.png,Social programmes should be maintained even at the cost of higher taxes,0
0.0,1367,Party election platform,UKIP policy is to use the taxation and benefits system to help families without disadvantaging others.,https://www.ukip.org/ukip-manifesto-item.php?cat_id=7,UK,United Kingdom,495,United Kingdom Independence Party,UKIP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0495/ukip-1554964890.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1367,A BILLION POUNDS MORE FOR HEALTH,Other programmatic and official party documentation,http://www.mydup.com/policies/a-world-class-health-service,UK,United Kingdom,496,DUP,Democratic Unionist Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0496/dup-1554964831.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1367,Other programmatic and official party documentation,"We're cutting income tax for 32 million people. This is fulfilling our promise to cut income tax one year early, so people keep more of what they earn.",https://www.conservatives.com/sharethefacts/2018/10/budget-2018---the-hard-work-of-the-british-people-is-paying-off,UK,United Kingdom,497,Conservative Party,Conservatives,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0497/tories-1554964813.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1367,Current/latest national election manifesto,"HelpingtoforcetheGovernmentintoaU-turnon proposed major cuts to tax credits which, had they succeeded, would have potentially forced many in low paid jobs out of work, especially those who are battling with increasing child care costs ",https://uup.org/assets/policies/uup%20GE%20manifesto.pdf,UK,United Kingdom,498,UUP,Ulster Unionist Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0498/uup-1554964856.jpg,Social programmes should be maintained even at the cost of higher taxes,0
0.0,1367,,,,UK,United Kingdom,516,Brexit Party,Brexit Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0516/brexit-1555068107.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1367,Current/latest national election manifesto,"We are committed to increased investment in public services (p. 38), ""we will increase the overall tax take"" (p. 37)",https://www.sinnfein.ie/files/2016/GE2016ElectionManifesto.pdf,UK,United Kingdom,528,SF,Sinn Fein,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0528/f_ucyvhk_400x400-1556545147.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1368,,,,UK,United Kingdom,455,Change UK – The Independent Group,Change UK ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0455/changeuk-1554906800.png,The state should provide stronger financial support to unemployed workers,1
75.0,1368,Current/latest national election manifesto,The state should provide stronger financial support to unemployed workers,https://labour.org.uk/wp-content/uploads/2017/10/labour-manifesto-2017.pdf,UK,United Kingdom,456,Labour Party,Labour ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0456/labour-1554907159.jpg,The state should provide stronger financial support to unemployed workers,1
100.0,1368,Party election platfom,"The Citizens' Income will eliminate the unemployment and poverty traps, as well as acting as a safety net to enable people to choose their own types and patterns of work",https://www.greenparty.org.uk/assets/images/national-site/political-programme-web-v1.2.pdf,UK,United Kingdom,457,The Green Party,Green Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0457/green-1554907620.png,The state should provide stronger financial support to unemployed workers,1
75.0,1368,Current/latest national election manifesto," Unemployment isn’t just an economic challenge – it’s a personal problem, and government must do everything it can to help those who can work find a job and provide for themselves and their family",https://www.libdems.org.uk/families,UK,United Kingdom,462,Liberal Democrats,Liberal Democrats,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0462/libdem-1554914546.png,The state should provide stronger financial support to unemployed workers,1
75.0,1368,Other programmatic and official party documentation,"Keeping 75% of Welsh spend within Wales would create 40,000 new private sector jobs and cut unemployment by 40%, and crucially, it won’t cost a penny.",https://d3n8a8pro7vhmx.cloudfront.net/plaid2016/pages/328/attachments/original/1459864681/2016_Plaid_Cymru_Manifesto.pdf?1459864681,UK,United Kingdom,463, Plaid Cymru – Party of Wales,Plaid Cymru,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0463/plaid-1554915078.png,The state should provide stronger financial support to unemployed workers,1
100.0,1368,Current/latest national election manifesto,"We will increase the Minimum Wage to the Living Wage, because nobody should be expected to work for a wage that keeps them in poverty.",https://greens.scot/policy/economy,UK,United Kingdom,464,Scottish Green Party,Scottish Greens,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0464/scotishgreens-1554915471.png,The state should provide stronger financial support to unemployed workers,1
100.0,1368,,,,UK,United Kingdom,465,The Social Democratic and Labour Party,SDLP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0465/sdlp-1554915790.jpg,The state should provide stronger financial support to unemployed workers,1
75.0,1368,Current/latest national election manifesto,"The Scottish Government’s national strategic partnership framework for responding to redundancy situations, PACE, ensures that local and public sector agencies respond to potential and proposed redundancies as quickly and as effectively as possible.",https://www.snp.org/policies/pb-what-is-the-snp-doing-to-help-people-get-back-into-work/,UK,United Kingdom,468,Scottish National Party,SNP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0468/snp-1554916985.png,The state should provide stronger financial support to unemployed workers,1
0.0,1368,Party election platform,UKIP policy is to use the taxation and benefits system to help families without disadvantaging others.,https://www.ukip.org/ukip-manifesto-item.php?cat_id=7,UK,United Kingdom,495,United Kingdom Independence Party,UKIP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0495/ukip-1554964890.png,The state should provide stronger financial support to unemployed workers,1
25.0,1368,,,,UK,United Kingdom,496,DUP,Democratic Unionist Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0496/dup-1554964831.jpg,The state should provide stronger financial support to unemployed workers,1
25.0,1368,,,,UK,United Kingdom,497,Conservative Party,Conservatives,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0497/tories-1554964813.jpg,The state should provide stronger financial support to unemployed workers,1
25.0,1368,,,,UK,United Kingdom,498,UUP,Ulster Unionist Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0498/uup-1554964856.jpg,The state should provide stronger financial support to unemployed workers,1
0.0,1368,,,,UK,United Kingdom,516,Brexit Party,Brexit Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0516/brexit-1555068107.jpg,The state should provide stronger financial support to unemployed workers,1
100.0,1368,Current/latest national election manifesto,"""We will reinstate the full rate of Jobseekers’ Allowance for under 26s; recognise the cost of disability by increasing Disability Allowance by €20; increase Fuel Allowance, Family Income Supplement and the Back to School Allowance; raise the cut-off age of the OneParent Family Payment to 12 years old; restore the Bereavement Grant; and introduce a Telephone Allowance. We will ensure activation schemes are of high quality and support job creation by shutting down the JobBridge and Gateway schemes and making greater use of the JobsPlus and Community Employment Schemes."" (p. 39)",https://www.sinnfein.ie/files/2016/GE2016ElectionManifesto.pdf,UK,United Kingdom,528,SF,Sinn Fein,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0528/f_ucyvhk_400x400-1556545147.jpg,The state should provide stronger financial support to unemployed workers,1
,1369,,,,UK,United Kingdom,455,Change UK – The Independent Group,Change UK ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0455/changeuk-1554906800.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,456,Labour Party,Labour ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0456/labour-1554907159.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,457,The Green Party,Green Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0457/green-1554907620.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,462,Liberal Democrats,Liberal Democrats,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0462/libdem-1554914546.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,463, Plaid Cymru – Party of Wales,Plaid Cymru,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0463/plaid-1554915078.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,464,Scottish Green Party,Scottish Greens,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0464/scotishgreens-1554915471.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,465,The Social Democratic and Labour Party,SDLP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0465/sdlp-1554915790.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,468,Scottish National Party,SNP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0468/snp-1554916985.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,495,United Kingdom Independence Party,UKIP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0495/ukip-1554964890.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,496,DUP,Democratic Unionist Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0496/dup-1554964831.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,497,Conservative Party,Conservatives,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0497/tories-1554964813.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,498,UUP,Ulster Unionist Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0498/uup-1554964856.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
,1369,,,,UK,United Kingdom,516,Brexit Party,Brexit Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0516/brexit-1555068107.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
0.0,1369,Current/latest national election manifesto,"""""""we operate within the parameters of European Union fiscal rules"""" (p. 34) """"Sinn Féin stands for Irish sovereignty and the right of Irish governments to make economic choices in the best interests of the Irish people. """" (p. 34) """"uphold the right of democratically elected governments to decide their social and economic priorities in the interests of their own people"""" (p. 30) """"We opposed the Fiscal (Austerity) Treaty because we knew that the rules set out in it were not in Ireland’s interests, involved a loss of economic sovereignty and had the potential to act as a serious impediment to any future government taking the type of decisions that are needed.  We have been proved correct. The acceptance of the Treaty has tied our hands significantly. We will continue to challenge these rules and build support at EU level for their re-negotiation. In the shorter term we will work to achieve the type of flexibilities to these rules that have been afforded to other States within the EU."""" (p. 34)""",https://www.sinnfein.ie/files/2016/GE2016ElectionManifesto.pdf,UK,United Kingdom,528,SF,Sinn Fein,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0036/candidates/0000/0000/0528/f_ucyvhk_400x400-1556545147.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
