answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
0.0,817,Текущ / последен манифест за национални избори,"""Данъчната система в областта на прякото облагане обаче остава едно от основните предимства на българската икономика и промяната й не стои на дневен ред за нас. Плоският данък за физическите лица и фирмите е най-справедливият от гледна точка на стимулите за икономическа активност и ние няма да позволим да бъде преразгледан. Ниските данъци имат и своята цена. Държавата не може да преразпределя толкова, колкото на политиците им се иска и да взема решения вместо хората. Активният и образованият човек има повече шансове от необразования и маргинализирания. Задачата ни обаче е да се погрижим за тези членове на нашето общество, които поради физическа невъзможност не успяват да задоволяват основните си жизнени потребности.""",http://gerb.bg/files/useruploads/files/gerb_programa_2017.pdf,BG,Bulgaria,378,Citizens for European Development of Bulgaria,ГЕРБ ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0378/%D0%93%D0%95%D0%A0%D0%91%20%D0%BB%D0%BE%D0%B3%D0%BE-1554991497.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,817,"Интервюта, съобщения за пресата и комуникация в социалните медии (партиен лидер и водещи кандидати)","В момента 47 общини не предлагат никаква форма на социална услуги. Идеята е с новия закон хората сами да избират доставчик на социална услуга, докато в момента са длъжни да отидат там, където ги отвежда направлението“, заяви народният представител от ПГ на ""БСП за България"" Надя Клисурска. По думите й въпросът е- как  общините ще се справят с новите отговорности и административен капацитет, които държавата смята да им прехвърли. „Идеята е държавният бюджет да финансира занапред само гарантирания пакет от минимални услуги, залегнал в националната карта, за допълнение всяка община трябва да вложи собствени средства и да търси източници отвън“, коментира тя и заяви, че какво точно ще съдържа минималният пакет, никой не може да каже. ",https://bsp.bg/news/view/15459-georgi_gyokov__bsp_podkrepya__zakona_za_sotsialnite_uslugi_zashtoto_e_otdavna_obeshtan_i_chakan_ot_horata.html,BG,Bulgaria,385,Bulgarian Socialist Party  ,БСП,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0385/%D0%91%D0%A1%D0%9F%20%D0%BB%D0%BE%D0%B3%D0%BE-1554991418.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,817,,,,BG,Bulgaria,388,Movement for Rights and Freedoms  ,ДПС,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0388/%D0%94%D0%9F%D0%A1%20%D0%BB%D0%BE%D0%B3%D0%BE-1554991470.gif,Social programmes should be maintained even at the cost of higher taxes,0
75.0,817,Манифест за избор на ЕС през 2019 г. на национална партия,"""През 2016 г. от AБB внecoxa пpeдлoжeниe в парламента тaвaнът на мeceчния paзмep нa ocигypитeлния дoxoд дa бъдe yвeличeн дo 3 xил. лeвa, нo тo бeшe oтxвъpлeнo. „Tpябвa дa имa пoвeчe cпpaвeдливocт. Ceгa ĸoлĸoтo пo-гoлямo възнaгpaждeниe пoлyчaвaш, тoлĸoвa пo-мaлĸo дaнъци внacяш. Heĸa пpoдължим пoлитиĸaтa пo плaвнo нapacтвaнe нa мaĸcимaлния ocигypитeлeн дoxoд oт 2014 г. Toвa щe дoвeдe дo пoвeчe пpиxoди в бюджeтa и щe ocигypи yвeличeниe нa тaвaнa и нa пeнcиитe, oбяcни oт тpибyнaтa Mapиaнa Toдopoвa oт AБB. Ивайло Калфин: """"За мен не подлежи на съмнение необходимостта да се подпомагат роми или бежанци. Тази помощ от обществото обаче трябва да даде шанс на всеки един ден те сами да поемат грижата за себе си и семейството си и да подпомагат чрез данъците други граждани в нужда, коментира вицепремиерът Калфин."""" """,https://www.abv-alternativa.bg/page.php?id=manifest; https://novini.bg/bylgariya/politika/324791,BG,Bulgaria,393,Alternative for Bulgarian Revival ,АБВ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0393/%D0%90%D0%91%D0%92-1554991390.jpg,Social programmes should be maintained even at the cost of higher taxes,0
0.0,817,"Интервюта, съобщения за пресата и комуникация в социалните медии (партиен лидер и водещи кандидати)","""Приоритетите ни за данъчни реформи са следните:  Намаляване на ДДС от 20 на 18%, което ще остави милиард годишно в хората и бизнеса, ще намали “стимулите” за данъчни измами и ще увеличи потреблението; Необлагаем минимум за Данък общ доход, което ще остави повече средства във всички работещи българи, и най-вече ще облекчи финансовото положение на т. нар. работещи бедни хора;""",https://dabulgaria.bg/poveche-pari-za-horata-i-biznesa-po-malko-za-vlastta/,BG,Bulgaria,395,Democratic Bulgaria ,ДБ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0395/%D0%94%D0%91%20%D0%BB%D0%BE%D0%B3%D0%BE-1554991443.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,817,Изборна платформа на партията,"Веселин  Марешки в навечерието на парламентарните избори през 2017 г.: ""преди да се мисли за каквито и да било социални дейности, заплати и пенсии, трябва да бъдат взети мерки за подкрепа и развитие на малкия и среден бизнес.""",http://volya.bg/programa; http://www.chernomore.bg/politika/2017-02-05/veselin-mareshki-programata-ni-tryabva-da-e-realistichna-i-barzo-izpalnima,BG,Bulgaria,398,Will ,Воля ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0398/%D0%92%D0%BE%D0%BB%D1%98%D0%B0-1554991629.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,817,"Интервюта, съобщения за пресата и комуникация в социалните медии (партиен лидер и водещи кандидати)","""От ВМРО подават в деловодството на Народното събрание промени в Закона за социално подпомагане, с които се предлагат изисквания към получаващите социални плащания. Предложението предвижда получаването на месечни социални помощи да се обвързва с полагането на общественополезен труд, участието в програми за ограмотяване и повишаване на квалификацията.От ВМРО отчетоха, че това е сред стъпките за реализиране на концепцията на Красимир Каракачанов за циганската интеграция. От друга страна, от партията излизат с предложения за """"социална кошница"""" (https://www.segabg.com/node/23463) и подпомагане на млади семейства с деца (http://infomreja.bg/patriotite-ot-vmro-vnesoha-programata-za-podpomagane-na-obrazovanite-semejstva-61888.html?reg=3)""",http://www.vmro.bg/%D0%B2%D0%BC%D1%80%D0%BE-%D0%B8%D1%81%D0%BA%D0%B0-%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D0%BD%D0%B8%D1%82%D0%B5-%D0%BF%D0%BE%D0%BC%D0%BE%D1%89%D0%B8-%D0%B4%D0%B0-%D1%81%D0%B5-%D0%BE%D0%B1%D0%B2%D1%8A%D1%80%D0%B7%D0%B0%D0%BD%D0%B8-%D1%81-%D0%BF%D0%BE%D0%BB%D0%B0%D0%B3%D0%B0%D0%BD%D0%B5%D1%82%D0%BE-%D0%BD%D0%B0-%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BE%D0%BF%D0%BE%D0%BB%D0%B5%D0%B7%D0%B5%D0%BD-%D1%82%D1%80%D1%83%D0%B4-%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BE%D1%82%D1%8F%D0%B2%D0%B0%D0%BD%D0%B5-%D0%BF%D0%BE%D0%B2%D0%B8%D1%88%D0%B0%D0%B2%D0%B0%D0%BD%D0%B5-%D0%BA%D0%B2%D0%B0%D0%BB%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%D1%82%D0%B0/,BG,Bulgaria,401,United Partiots ,ВМРО,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0401/bmpo_coat_of_arms-1554991600.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,817,Публични изявления,"На въпрос, свързан с доходи и справяне с демографска криза, Валери Симеонов заявява:"" Не могат да се отделят милиарди за саниране, а да няма пари за пенсионерите"". По думите му  не можем да приемем, че се отделят милиарди за издаване на фалшиви болнични, издаване на ТЕЛК-ове на фалшиви инвалидни пенсии, че се отделят по милиарди за саниране, а няма да има пари за пенсионерите. ""Това просто според нас е нелогично и античовешко, но на всички ни е ясно защо става така – защото при възлагане на поръчки на фирми за саниране могат да се реализират доста отклонения, доста комисионни, а от пенсии, които са точно определени и се изплащат на съответния пенсионер, няма как да се вземат комисионни"", казва още той. От друга страна, затягането на контрола върху социалните помощи, гласувано в началото на април 2019 г., е подкрепено и прието с аргументи на НФСБ. Народните представители одобряват законопроект за промени в закона за социалното подпомагане, които предвиждат обвързване на помощите с посещаване на училище от децата, както и с полагането на общественополезен труд, за хората, които получават помощи за безработни. С новите промени когато детето отсъства в един месец повече от пет учебни часа или три дни без уважителни причини, социалните помощи се спират за година ",http://news.bnt.bg/bg/a/zatyagat-kontrola-pri-otpuskane-na-sotsialni-pomoshchi,BG,Bulgaria,511,National Front for the Salvation of Bulgaria,NFSB,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0511/nfsb-1555053583.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,817,Публични изявления,"Партия ""Атака"" предлага детски надбавки само за пълнолетни родители (2014 г., https://www.dnes.bg/politika/2014/02/05/detski-samo-za-pylnoletni-roditeli-rodi-ataka.214895). От друга страна, предложенията на ""Атака"" за по-високи пенсии винаги присъства в предизборните им платформи, както и коалиционни споразумения ( през 2014 г. предлагат минимална пенсия в размер от 500 лв:, https://www.investor.bg/ikonomika-i-politika/332/a/minimalna-pensiia-500-leva-ot-1-iuli-predlaga-ataka-167402/, а през 2018 г., когато участват в управлението, се гласува тя да бъде 200 лв: http://www.vestnikataka.bg/2017/10/%D0%BF%D0%B0%D1%82%D1%80%D0%B8%D0%BE%D1%82%D0%B8%D1%82%D0%B5-%D1%81%D0%BF%D0%B0%D0%B7%D0%B8%D1%85%D0%B0-%D0%BE%D0%B1%D0%B5%D1%89%D0%B0%D0%BD%D0%B8%D0%B5%D1%82%D0%BE-%D1%81%D0%B8-%D0%BC%D0%B8%D0%BD/); обявяват се в полза на прогресивния данък (http://www.vestnikataka.bg/2015/02/%D0%B0%D1%82%D0%B0%D0%BA%D0%B0-%D0%B8%D1%81%D0%BA%D0%B0-%D0%B1%D0%B5%D0%B4%D0%BD%D0%B8%D1%82%D0%B5-%D0%B4%D0%B0-%D0%BF%D0%BB%D0%B0%D1%89%D0%B0%D1%82-%D0%BF%D0%BE-%D0%BD%D0%B8%D1%81%D0%BA%D0%B8-%D0%B4/)",https://www.dnes.bg/politika/2014/02/05/detski-samo-za-pylnoletni-roditeli-rodi-ataka.214895,BG,Bulgaria,512,Ataka,Ataka,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0512/ataka-logo-1555054606.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,818,"Интервюта, съобщения за пресата и комуникация в социалните медии (партиен лидер и водещи кандидати)","В програмата на ГЕРБ е заложен и различен подход към социалните помощи. „Социалните помощи трябва да помагат само на най-бедните, а всички хора, които работят, да бъдат стимулирани.""",focus-radio.net/избори-2017-зорница-русинова-герб-социал/,BG,Bulgaria,378,Citizens for European Development of Bulgaria,ГЕРБ ,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0012/candidates/0000/0000/0378/%D0%93%D0%95%D0%A0%D0%91%20%D0%BB%D0%BE%D0%B3%D0%BE-1554991497.png,The state should provide stronger financial support to unemployed workers,1
