answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
50.0,905,Radikale Venstres 2025-plan,"Fattigdomsydelser bidrager til mere fattigdom, fordi ydelserne sættes ned for mange udsatte grupper, men kun meget få kommer i beskæftigelse. Derfor vil Radikale Venstre afskaffe dem. Det drejer sig om kontanthjælpsloftet, 225 timers reglen og den lave integrationsydelse [...] Radikale Venstre ønsker at ændre skatten, så den bliver mere rimelig og skaber mere vækst og beskæftigelse [...] Vi letter skatten i toppen med 1,6 mia. kr. og i bunden med ca. 7 mia. kr.",https://www.radikale.dk/system/files/Dokumenter/RV2025plan.pdf,DK,Denmark,275,The Social Liberal Party,The Social Liberal Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0275/b-logo_magenta_2016_0_4-2-1554887060.png,Social programmes should be maintained even at the cost of higher taxes,0
0.0,905,Liberal Alliances arbejdsprogram,"Danskerne skal betale mindre i skat [...] Skattetrykket skal sænkes for at skabe så gode rammer om virkelyst og erhvervsvirksomhed, så det kan betale sig at yde en ekstra indsats, og så flere kan gå fra offentlig forsørgelse til at kunne forsørge sig selv [...] Liberal Alliance har lagt en 2025-plan, hvor skatten sænkes for borgere og virksomheder. ",https://www.liberalalliance.dk/wp-content/uploads/2019/03/arbejdsprogram_13.03.2019.pdf,DK,Denmark,276,Liberal Alliance,Liberal Alliance,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0276/liberal-alliance-2-1554887106.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,905,Konservatives hjemmeside,"Fra konservativ side er man yderst tilfreds med den nye aftale om et kontanthjælpsloft, som i dag er indgået mellem K, V, DF og LA. Det fortæller den konservative beskæftigelsesordfører Rasmus Jarlov: ""Vi synes, at vi har fundet en rimelig balance mellem at sikre de arbejdsløse et rimeligt forsørgelsesgrundlag og sikre, at det kan betale sig at arbejde. De penge, som vi kommer til at spare, har vi planer om skal gå til skattelettelser på arbejde"".",https://konservative.dk/2015/11/18/god-balance-ny-kontanthjaelpsaftale/,DK,Denmark,285,Conservative,The Conservative Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0285/bxpuxfce_400x400-1554887084.png,Social programmes should be maintained even at the cost of higher taxes,0
,905,,,,DK,Denmark,286,People's Movement against the EU,People's Movement against the EU,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0286/37666683_1910586572340138_6853893516578258944_n-2-1554887148.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,905,Alternativets hjemmeside,"Vi ønsker derfor at reorganisere samfundet, så ulighedskurven knækkes, og ligeværdet og tilliden befolkningsgrupperne imellem øges […] Socialpolitikken skal understøtte vores allesammens medansvar for hinanden, og bidrage til, at værdier som empati og generøsitet manifesterer sig som overordnede pejlemærker for det sociale arbejde bredt",https://alternativet.dk/politik/vores-politik/socialpolitik,DK,Denmark,287,The Alternative,The Alternative,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0287/15400539_1384024781631735_6692821711342367998_n-1554887269.jpg,Social programmes should be maintained even at the cost of higher taxes,0
50.0,905,Venstres hjemmeside,"Venstre har derfor stået i spidsen for at gennemføre en række tiltag, der bidrager til, at det bedre kan betale sig at arbejde. Alene siden folketingsvalget i 2015 har vi indført et kontanthjælpsloft, en 225-timersregel og en integrationsydelse.  Og med vores skatteaftale fra februar 2018 giver vi skattelettelser til folk i arbejde [...] ""Vi arbejder for, at det bedre kan betale sig at arbejde. For når flere arbejder, og når færre forsørges af det offentlige, får vi bedre råd til at prioritere vores fælles velfærd",https://www.venstre.dk/politik/venstre-mener/beskaeftigelse,DK,Denmark,319,Left,The Liberal Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0319/46329416_10156669790663830_8997173611366187008_o-2-1554887459.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,905,Socialdemokratiets oplæg til forhandlingerne om regeringens 2025-plan,"Regeringen har fremlagt en 2025-plan, der vil forringe folkepensionen, skære i SU’en og give boligejerne lavere rentefradrag for at øge råderummet med det primære formål at få råd til skattelettelser. Det mener vi ikke, er den rigtige vej at gå.",https://www.socialdemokratiet.dk/media/4231/stol-paa-danmark.pdf ,DK,Denmark,327,The Danish Social Democrats,The Danish Social Democrats,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0327/13932858_10153852639748030_3374091010047042947_n-2-1554887376.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,905,Enhedslistens hjemmeside,"Vi ønsker et stærkt velfærdssamfund, fordi det er mere socialt retfærdigt – og fordi det skaber en sund økonomi. Det er velfærdstaten, der har givet os lav arbejdsløshed og kriminalitet, men høj velstand og tryghed. Dét skal vi udvikle og værne om, ikke spare væk.",https://enhedslisten.dk/politikomraade/socialpolitik,DK,Denmark,331,Red–Green Alliance,Red–Green Alliance,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0331/21192666_10155408933561023_173732188940937658_n-2-1554887528.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,905,Skattepolitisk oplæg.,"Regeringens seneste finanslov trækker i retning af en yderligere forringelse af de offentlige ydelser, fordi den lægger op til en stigning i det offentlige forbrug, der ikke modsvarer minimumskravet for at følge det demografiske træk.17 Hvis forringelserne af de offentlige serviceydelser fortsætter, mens uligheden fortsat stiger, sætter det opbakningen til velfærdssamfundet og den sociale sammenhængskraft, som har været fundamentet for dets etablering og udbygning, på spil. Der er med andre ord et stort og voksende behov for progressive løsninger, som på en og samme tid sikrer en mere solidarisk finansiering og fremtidssikring af velfærden og samtidig bryder tendensen omkring stigende ulighed i Danmark. Denne rapport rummer en række forslag, der kan bidrage til netop det. Forslagene er inddelt tre emner: 1) Øget beskatning af arbejdsfrie indtægter, 2) Sanering af skattesubsidier til erhvervslivet, 3) Nationale og internationale initiativer for en mere effektiv beskatning af virksomheder.",https://sf.dk/wp-content/uploads/2019/01/for-bedre-velfaerd-og-mindre-ulighed.pdf,DK,Denmark,460,Socialist People's Party,Socialist People's Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0460/35553458_10156422430209246_5696564774230294528_o-2-1554909512.png,Social programmes should be maintained even at the cost of higher taxes,0
50.0,905,"DF's hjemmeside, afsnit om socialpolitik","Derfor er det også velfærdssamfundets opgave at sikre, at der altid er et sikkerhedsnet under de mennesker, der havner i en situation, hvor de har brug for lidt ekstra hjælp.",https://danskfolkeparti.dk/politik/maerkesager/socialpolitik/,DK,Denmark,461,The Danish People's Party,The Danish People's Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0016/candidates/0000/0000/0461/550928_520449464650082_1312999470_n-2-1554909780.jpg,Social programmes should be maintained even at the cost of higher taxes,0
