answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
25.0,1169,Budget Document 2019,Focus on social issues; no increase in taxes; no new taxes,http://www.independent.com.mt/articles/2018-10-22/local-news/Live-Finance-Minister-presents-budget-for-2019-6736198197,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1169,Speech by PN Leader Adrian Delia,Vital for state to maintain a human touch,https://www.maltatoday.com.mt/news/national/93297/the_nationalist_party_will_keep_fighting_for_the_peoples_interests__adrian_delia#.XK9CaSgzaUk,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1169,PD policy statement,,http://pd.org.mt/views-policies/social-wellbeing/,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1170,Budget Document 2015,Unemployed to be weaned off dependency,https://www.facebook.com/maltatoday/posts/budget-attempts-to-wean-unemployed-off-benefit-dependency-we-want-to-encourage-m/10152709683526941/,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,The state should provide stronger financial support to unemployed workers,1
25.0,1170,PN 2017 Electoral Manifesto,Unemployed to be weaned off dependency,https://www.maltatoday.com.mt/news/election-2017/77546/live_nationalist_party_general_council#.XK9AWigzaUk,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,The state should provide stronger financial support to unemployed workers,1
25.0,1170,ALDE Policy statement,PD is aligned with ALDE group,https://alde.eu/en/news/1288-european-parliament-votes-for-more-investment-in-people-s-education-and-skills/,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,The state should provide stronger financial support to unemployed workers,1
50.0,1171,Malta Chamber of Commerce statement,Malta is compliant and expects other member states to do the same,https://www.maltachamber.org.mt/en/malta-among-11-eurozone-countries-compliant-with-the-eu-s-stability-and-growth-pact,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
50.0,1171,PN 2017 Electoral Manifesto,Malta obeys the rules; expects other member states to do the same,https://www.maltatoday.com.mt/news/election-2017/77546/live_nationalist_party_general_council#.XK9AWigzaUk,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,The European Union should rigorously punish Member States that violate the EU deficit rules,2
75.0,1171,ALDE Policy statement,PD is aligned with ALDE Group,https://alde.eu/en/news/187-commission-shies-away-from-triggering-sanction-mechanism-against-france/,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,The European Union should rigorously punish Member States that violate the EU deficit rules,2
100.0,1172,2018 Newspaper Report,Malta Government looking for EU-wide solidarity in migrant settlement,https://www.timesofmalta.com/articles/view/20180814/local/migrants.686783,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,Asylum-seekers should be distributed proportionally among European Union Member States,3
100.0,1172,PN 2017 Electoral Manifesto,Malta expects solidarity and burden sharing,https://www.maltatoday.com.mt/news/election-2017/77546/live_nationalist_party_general_council#.XK9AWigzaUk,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,Asylum-seekers should be distributed proportionally among European Union Member States,3
75.0,1172,PD media statement,,https://www.newsbook.com.mt/artikli/2018/06/27/malta-se-tiehu-2-immigranti-minn-lifeline-pd/?lang=en,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,Asylum-seekers should be distributed proportionally among European Union Member States,3
25.0,1173,Newspaper article,Prime Minister warns against racism and xenophobia,https://www.maltatoday.com.mt/news/national/85584/analysis_malta_foreign_workers_pensions_population#.XKy8iigzaUk,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,Immigration into Malta should be made more restrictive,4
75.0,1173,Statement by PN Leader Adrian Delia,Immigration as challenge to societal fabric,https://lovinmalta.com/news/news-politics/adrian-delia-clarifies-his-immigration-speech-it-is-my-duty-to-speak-about-maltas-new-poverty,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,Immigration into Malta should be made more restrictive,4
25.0,1173,Press Statement,Long-term residents who arrived claiming ayslum should not be deported.,https://www.maltatoday.com.mt/news/national/73232/grant_citizenship_to_migrant_children_born_in_malta_democratic_party_insists#.XMHIfOgzY2w,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,Immigration into Malta should be made more restrictive,4
50.0,1174,Newspaper article,Maltese are not racist; but ...,https://www.maltatoday.com.mt/news/national/19365/i-m-not-racist-but-20120704#.XKy80SgzaUk,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,Immigrants from outside Europe should be required to accept our culture and values,5
75.0,1174,Statement by PN Leader Adrian Delia,Immigration as challenge to societal fabric,https://lovinmalta.com/news/news-politics/adrian-delia-clarifies-his-immigration-speech-it-is-my-duty-to-speak-about-maltas-new-poverty,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,Immigrants from outside Europe should be required to accept our culture and values,5
75.0,1174,ALDE Policy Platform,PD is aligned with ALDE Group,https://alde.eu/en/events/1045-alde-new-year-seminar-the-state-of-democracy-the-rule-of-law-and-fundamental-rights-in-the-eu-safeguarding-a-community-of-values/,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,Immigrants from outside Europe should be required to accept our culture and values,5
100.0,1175,2017 same sex marriage news article,Only one negative vote in Parliament,https://www.maltatoday.com.mt/news/national/78874/malta_legalises_samesex_marriage_as_parliament_votes_in_favour_of_marriage_equality_bill#.XKy9GygzaUk,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,The legalisation of same sex marriages is a good thing,6
50.0,1175,News article,Only one PN Member of Parliament votes against same sex marriage bill,https://www.maltatoday.com.mt/news/national/78874/malta_legalises_samesex_marriage_as_parliament_votes_in_favour_of_marriage_equality_bill#.XK9C5CgzaUk,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,The legalisation of same sex marriages is a good thing,6
75.0,1175,ALDE Policy Platform,PD is aligned with ALDE Group,https://alde.eu/en/news/1130-alde-welcomes-ecj-ruling-on-rights-of-same-sex-spouses/,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,The legalisation of same sex marriages is a good thing,6
75.0,1176,Newspaper article,Drug laws in need of reform,http://www.independent.com.mt/articles/2014-01-14/news/drug-laws-decriminalisation-or-legalisation-3678208004/,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,The legalisation of the personal use of soft drugs is to be welcomed,7
25.0,1176,Statement by Former PN Leader Simon Busuttil,PN wants science about effects of drug use,https://www.maltatoday.com.mt/news/election-2017/76887/pl_pn_pd_come_out_favour_legalising_marijuana#.XK9DGCgzaUk,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,The legalisation of the personal use of soft drugs is to be welcomed,7
75.0,1176,Press Statement,,https://www.maltatoday.com.mt/news/election-2017/76887/pl_pn_pd_come_out_favour_legalising_marijuana#.XMW1uOgzY2w,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,The legalisation of the personal use of soft drugs is to be welcomed,7
25.0,1177,Newspaper article,Prime Minister against euthanasia,http://www.independent.com.mt/articles/2017-02-16/local-news/PM-personally-against-euthanasia-calls-for-honest-discussion-free-from-politics-6736170497,MT,Malta,402,Labour Party,Labour Party (LP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0402/pl-logo-1554813713.jpg,Euthanasia should be legalised,8
0.0,1177,Statement by Former PN Leader Simon Busuttil,No euthanasia or abortion under PN,https://www.timesofmalta.com/articles/view/20170109/local/salvu-mallia-comments.636058,MT,Malta,403,Nationalist Party,Nationalist Party (NP),http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0403/180px-nationalist_party_of_malta_logo-1555022036.png,Euthanasia should be legalised,8
25.0,1177,ALDE policy platform,PD is aligned with ALDE Group,https://alde.eu/en/events/703-joint-conference-when-conscientious-objection-clashes-with-women-s-sexual-and-reproductive-health-and-rights-and-lgbti-rights/,MT,Malta,526,,Democratic Party,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0027/candidates/0000/0000/0526/pd-logo-1556183499.jpg,Euthanasia should be legalised,8
