answer,question_id,motivation_src,motivation,motivation_src_link,country_code,country_name,party_id,party_name_full,party_name_short,party_image,question,question_shared_id
75.0,1257,Platforma electorala a partidului,Ne dorim un sistem de taxare progresivă pentru a reduce distanțele între grupurile sociale.,https://www.psd.ro/,RO,Romania,250,The Social Democratic Party,PSD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0250/1200px-social_democratic_party_romania_logo_2019.svg-1555001496.jpg,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1257,Platforma electorala a partidului,"""Politica noastră în domeniul muncii este: cine muncește trebuie să aibă mai mult decât cine nu muncește. Sărăcia nu dispare prin ajutoare sociale, ci prin acele condiții în care oamenii pot munci atât cât doresc, văzându-și răsplătite eforturile.""",https://pmponline.ro/program/o-natiune-libera-activa-si-unita,RO,Romania,251,People's Movement Party,PMP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0251/pmp-1555001176.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1257,Platforma electorala a partidului,"Împărtășim credința că, pentru ca drepturile să fie exercitate de către toți membrii societății, este necesar să existe şi să se aplice politici antidiscriminare şi pentru egalitate de șanse, precum și politici de diminuare a sărăciei și a polarizării sociale.",https://www.ro.plus/manifest,RO,Romania,252,"Alliance 2020 Save Romania Union & Freedom, Unity and Solidarity Party",Alianta 2020 USR-PLUS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0252/alianta-2020-usr-plus-1555001010.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1257,"Interviuri, comunicate de presă și comunicare socială (lider de partid și candidați)","""Cat priveste prezentarea in varianta populista, aceasta a fost facuta de secretarul general al PNL, Robert Sighiartau, care a promis ca in prima zi vor crestere alocatiile pentru copii cu 80% si punctul de pensie cu 10%.  """"Partidul National Liberal este pregatit sa guverneze si a venit cu un proiect pe buget pentru anul 2019. (...) Vrem ca din 1 ianuarie 2019 familiile sa beneficieze de cresterea alocatiilor pentru copii, cu 80%. Este o masura extrem de importanta. Ne confruntam cu mari probleme demografice in Romania. Stimulam familiile din Romania si ne dorim sa avem politici concrete pentru a stimula demografia si pentru ca aceste familii sa ramana, aici, in tara. Anul trecut au plecat mai mult de 200.000 mii de oameni din Romania.  Nu in ultimul rand, vrem ca din 1 ianuarie 2019 pensiile romanilor sa creasca cu 10%. Din 1 ianuarie 2019, nu din iulie, nu din august cum a facut Partidul Social Democrat si ALDE. Sunt foarte multe propuneri pe care Partidul National Liberal le are si este dispus sa le implementeze daca preia guvernarea de la 1 ianuarie 2019, insa astazi v-am dat cateva directii principale"""", a declarat, joi, Robert Sighiartau, in cadrul unei conferinte de presa.""",http://www.ziare.com/politica/guvern/pnl-arata-cum-ar-face-bugetul-pe-2019-inainte-de-motiunea-de-cenzura-suntem-pregatiti-pentru-guvernare-1542022,RO,Romania,296,The National Liberal Party,PNL,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0296/logo_pnl-1555001138.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1257,Platforma electorala a partidului,"PRO România consideră necesară și urgentă reformarea sistemului social având la bază trei piloni esențiali: prevenția – pentru a evita ca cetățenii să devină beneficiari de prestații sociale,",https://www.proromania.ro/viziune/social/,RO,Romania,297,Partidul Pro România,Pro România,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0297/logo_pro_romania-1555001431.jpg,Social programmes should be maintained even at the cost of higher taxes,0
75.0,1257,Manifestul electoral al UE 2019 al partidului național,"""Az RMDSZ válasza a gazdasági kihívásokra a korszerű, huszonegyedik századi szociális piacgazdaság kiteljesítése. Az emberek és a családok szolgálatába állítjuk a gazdaságot. Az európai kihívásokra erdélyi válaszokat adunk, a gazdaságban ezek a fenntartható versenyképesség, valamint a szociális felelősségvállalással szabályozott piaci verseny. Răspunsul UDMR la provocările economice este realizarea unei economii sociale de piață moderne, de secol XXI. Am pus economia în slujba oamenilor și a familiilor. Răspunsurile transilvănene sunt date provocărilor europene, acestea fiind competitivitatea durabilă a economiei și concurența pe piață reglementată de responsabilitatea socială. """,http://www.transindex.ro/images/__leo/cikkek/71911_KolozsvariKongresszus_2019_Vitaindito_dokumentum.pdf?fbclid=IwAR1OludaLEjmB0ndBAVt1lwSHcqgyr0G5oZOA3tyGGVYsn4Za088k8u14n4,RO,Romania,299,Romania's Magyar Democratic Union,UDMR,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0299/udmr-1555001779.png,Social programmes should be maintained even at the cost of higher taxes,0
25.0,1257,Manisfest electoral de la alegeri anterioare,Promisiuni nesustenabile de-a stânga si de-a dreapta eşicherului Politic • Dublarea salariilor medicilor de la 1 iulie 2017 • Majorarea anuală a salariilor în medie cu 20% începând cu a doua jumătate a anului 2017 până la dublarea acestora • Generalizarea cotei unice de 16% pentru toate 2purile de taxe şi impozite • Crearea a 850.000 noi locuri de muncă până in 2020… Toate acestea sunt nesustenabile deoarece pentru majoritatea nu există surse de finanţare. Creşterea se poate face doar susţinută de o puternică creştere economică,https://www.scribd.com/document/328158525/Program-Economic-ALDE,RO,Romania,301,Alliance of Liberal and Democrats for Europe,ALDE,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0301/alde1-1555000910.jpg,Social programmes should be maintained even at the cost of higher taxes,0
100.0,1258,Platforma electorala a partidului,"Credem că angajații trebuie să aibă condiții minime garantate prin lege: salariu minim, protecție împotriva concedierii abuzive, concediu plătit etc.",https://www.psd.ro/,RO,Romania,250,The Social Democratic Party,PSD,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0250/1200px-social_democratic_party_romania_logo_2019.svg-1555001496.jpg,The state should provide stronger financial support to unemployed workers,1
25.0,1258,Platforma electorala a partidului,"""Politica noastră în domeniul muncii este: cine muncește trebuie să aibă mai mult decât cine nu muncește. Sărăcia nu dispare prin ajutoare sociale, ci prin acele condiții în care oamenii pot munci atât cât doresc, văzându-și răsplătite eforturile.""",https://pmponline.ro/program/o-natiune-libera-activa-si-unita,RO,Romania,251,People's Movement Party,PMP,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0251/pmp-1555001176.jpg,The state should provide stronger financial support to unemployed workers,1
,1258,,,,RO,Romania,252,"Alliance 2020 Save Romania Union & Freedom, Unity and Solidarity Party",Alianta 2020 USR-PLUS,http://files2.societly.com.s3-website.eu-central-1.amazonaws.com/0000/0000/0031/candidates/0000/0000/0252/alianta-2020-usr-plus-1555001010.jpg,The state should provide stronger financial support to unemployed workers,1
